drug,pvalue,padj
ramatroban,0.036162850942380274,0.16879885585040083
nelarabine,0.03658506286951266,0.17022053367262
ziprasidone,0.0370968202922692,0.17204839411190234
epz-5676,0.037823947384396796,0.17486022960134878
triamcinolone,0.038099240178018516,0.17557197623437196
apatinib,0.038497037052781506,0.17635800692128661
latanoprost,0.03874791723711379,0.17635800692128661
se-methylselenocysteine,0.03874976826940352,0.17635800692128661
gdc-0879,0.03875732287558337,0.17635800692128661
k-858,0.03906422092823672,0.1768740757970673
oseltamivir-phosphate,0.0391540392540899,0.1768740757970673
adaprev,0.03923744183196863,0.1768740757970673
bekanamycin,0.03970274070764539,0.17841573231044372
rigosertib,0.04087179135714283,0.18239396126059787
chicago-sky-blue-6b,0.04093949607382802,0.18239396126059787
hypericin,0.04107637056024162,0.18239396126059787
romidepsin,0.04109221241945743,0.18239396126059787
fenaclon,0.041243990823907485,0.18250781260609825
orotic-acid,0.04165443851283154,0.18376211136605866
bi-d1870,0.041895238126765134,0.18426264306817372
pp242,0.04206573718855424,0.18433287430550832
berberine,0.04220801971526203,0.18433287430550832
2'-meccpa,0.04229337544535506,0.18433287430550832
uh-232-(+),0.04244517456990074,0.1844389417496888
pki-179,0.042839894039752774,0.18559678645365948
colchicine,0.04357859811808033,0.18823352679660368
quizartinib,0.0439983273308889,0.18941857147723654
torasemide,0.04411476059974341,0.18941857147723654
sgi-1027,0.04542368966423834,0.19446177202412096
mk-8745,0.04644534402806733,0.1982490053351429
meclizine,0.04738216088044105,0.20165290233528882
temocapril,0.04784128874789851,0.2030098088510532
oligomycin-a,0.04912304535321833,0.2073313114162164
unbs-5162,0.04914626110280734,0.2073313114162164
cinnarazine,0.04946595177549226,0.20807334947423636
hmn-214,0.04981697871316801,0.208942516515809
capecitabine,0.050196935900194216,0.20992764811439607
parachlorophenol,0.05036853169739385,0.21003822872083255
rabeprazole,0.051313072187240065,0.21336211337625396
secnidazole,0.051669503682107557,0.21418527958522468
maytansinol-isobutyrate,0.05185472780298003,0.21418527958522468
oprozomib,0.051955102373471916,0.21418527958522468
as-703026,0.05215320898562539,0.214391174438068
tc1,0.05250811430328923,0.21499883058135233
temsirolimus,0.05259819352163008,0.21499883058135233
rs-504393,0.05305222363920854,0.21624385241108385
blebbistatin-(-),0.05321417888538273,0.21629471024480004
gefitinib,0.05358966643242233,0.21686042475919248
fluvastatin,0.05365309748707042,0.21686042475919248
etoposide,0.054208478474220494,0.21827935647983124
guanidine,0.054305852337760356,0.21827935647983124
cd-437,0.054614215111034474,0.2189107181874429
tg-101348,0.05635820740412726,0.22523296461170345
gidazepam,0.05650281005808456,0.22523296461170345
otx015,0.057212135102380365,0.22743395465149557
gw-583340,0.05754646875304926,0.22813627475523912
gimeracil,0.05815302794399953,0.22991101484963747
k-ras(g12c)-inhibitor-6,0.05929398982120752,0.23378311518061928
bgt226,0.05962026046407615,0.23389886074186578
valnemulin,0.059646634149100534,0.23389886074186578
cl-218872,0.060316865821588184,0.23545207636340232
bexarotene,0.06079967316911849,0.23545207636340232
costunolide,0.06083548004900557,0.23545207636340232
hexaminolevulinate,0.06090059857693223,0.23545207636340232
vlx600,0.060983990098205994,0.23545207636340232
brequinar,0.06101902462769583,0.23545207636340232
terbutaline,0.061460141587479596,0.23652347041777386
way-170523,0.06247814032264701,0.23980336617206954
sb-205384,0.06276752460142104,0.2402767410006779
almorexant,0.06297774168037373,0.24044536203562217
eprinomectin,0.06364660197328752,0.24198584481816773
pheniramine,0.06380440122603943,0.24198584481816773
bindarit,0.06388292516968906,0.24198584481816773
kenpaullone,0.06407603294604163,0.24208360227917033
uridine,0.06461562287336467,0.24348647473374654
uracil,0.0649938581914049,0.24427561767003345
way-600,0.06524970630396552,0.2446018782949174
daunorubicin,0.06541887462593692,0.24460235551351606
frentizole,0.06596538559175998,0.24601008492597085
chlorogenic-acid,0.06625947622485952,0.24647162492897615
tipranavir,0.06666498479422603,0.24734418717242326
lafutidine,0.06744772258046192,0.24960832371848693
nvp-bvu972,0.06778914221851093,0.250231859158636
dihydroergocristine,0.06834883133969698,0.25165587518712856
fludarabine-phosphate,0.06874674575982483,0.25221656077606713
sulconazole,0.06904445889322341,0.25221656077606713
bisindolylmaleimide-ix,0.06918142790762156,0.25221656077606713
mericitabine,0.06935045690697117,0.25221656077606713
bms-754807,0.06937262694462662,0.25221656077606713
iproniazid,0.06967646646218188,0.2526863332600932
mexeneone,0.07073706131245461,0.25589131929780456
zaldaride,0.07130287055807093,0.25729489700131825
atenolol-(+/-),0.07182582871038147,0.2585372491142338
metatinib,0.07213678209010618,0.2587029205707143
sb-743921,0.07236952355478793,0.2587029205707143
gsk2830371,0.07251822358123694,0.2587029205707143
pf-4981517,0.0725869977551555,0.2587029205707143
