drug,pvalue,padj
diphenyleneiodonium,0.0730709985062959,0.2597880462865115
azd8931,0.07354840572944338,0.26052380087044036
pd-198306,0.0736380335563304,0.26052380087044036
ggti-298,0.07420217853085682,0.260956649132284
clomifene,0.07431497809966264,0.260956649132284
itraconazole,0.07459352050830888,0.260956649132284
minocycline,0.07485314082848378,0.260956649132284
metoprolol,0.07488264442870697,0.260956649132284
mk-0812,0.07489693132932901,0.260956649132284
torcetrapib,0.07502278233519706,0.260956649132284
isoflupredone-acetate,0.07548529957247235,0.2613488666025742
pitavastatin,0.07549677003446857,0.2613488666025742
plinabulin,0.0760234498835319,0.2625439904092378
doxifluridine,0.07620884985373129,0.2625576327103552
dichlorvos,0.0764418233949207,0.262734723164965
polydatin,0.07786163354734388,0.26589633862111384
vu0361737,0.07844043964814117,0.26589633862111384
lovastatin,0.07855568335809517,0.26589633862111384
daclatasvir,0.07881866347526147,0.26589633862111384
triapine,0.0788299085190744,0.26589633862111384
gsk1292263,0.07885091603765296,0.26589633862111384
wz-4002,0.07894688455845018,0.26589633862111384
brivaracetam,0.07933817302790767,0.26589633862111384
tak-901,0.07935038027023847,0.26589633862111384
melphalan,0.07937339621510042,0.26589633862111384
digitoxin,0.07938301194493516,0.26589633862111384
cgp-37849,0.08009476820344709,0.2676608073681015
nms-e973,0.08076168235120262,0.2692676367792401
anagrelide,0.08098803623886712,0.26940158261526603
sb-431542,0.08126521280013452,0.2696396876444578
clobetasol-propionate,0.08143230373229306,0.2696396876444578
bam7,0.08201875472105405,0.27069843161540086
anguidine,0.08212620005470696,0.27069843161540086
pyrithione-zinc,0.08275020592053747,0.27152590044996877
sobetirome,0.08284460365875526,0.27152590044996877
azacitidine,0.08304322097293389,0.27152590044996877
propoxycaine,0.0831278326878619,0.27152590044996877
azodicarbonamide,0.08348429073023643,0.2720760556005678
mk-5108,0.08377995901404704,0.27212938250367297
clotrimazole,0.08387678272055159,0.27212938250367297
colforsin-daproate,0.0842577212743729,0.27250611845314243
mibefradil,0.08438958995040403,0.27250611845314243
deforolimus,0.08455787642395367,0.27250611845314243
pilaralisib,0.08552497042168629,0.27501029377817793
mk-2461,0.08610531119035494,0.27586604107804635
formestane,0.08620986122615712,0.27586604107804635
isoxsuprine,0.0863630384301002,0.27586604107804635
sb-228357,0.0868356310467755,0.27676466547287254
zk811752,0.08724252898541618,0.2771920672889395
cyt387,0.08735285603576809,0.2771920672889395
enocitabine,0.08765851765470144,0.27728991043815615
palbociclib,0.08776695161069491,0.27728991043815615
ski-ii,0.08820784533004476,0.27775802326109034
telatinib,0.08841038751942455,0.27775802326109034
octopamine,0.08905418278042322,0.27775802326109034
cimetidine,0.08908622423660335,0.27775802326109034
d-64131,0.08918246859371697,0.27775802326109034
pr-619,0.08918481995853622,0.27775802326109034
methscopolamine,0.08925879807630062,0.27775802326109034
carboxypyridine-disulfide,0.09042224626854034,0.28077465740467356
pardoprunox,0.09065600449897725,0.2808977270021843
tpca-1,0.09102869918091056,0.28144984554439656
10-hydroxycamptothecin,0.09140994128250599,0.28184004565426624
lidamidine,0.09160835009578613,0.28184004565426624
equol,0.09180932856355953,0.28184004565426624
racecadotril,0.0919340024525319,0.28184004565426624
epinephrine,0.09471503693323953,0.2893047250549297
teprenone,0.09476879037735776,0.2893047250549297
oxymatrine,0.0955933378541472,0.291207494473581
