tf,importance_mean,rank
SOX17,0.00014215114535431894,555
CEBPD,0.0001420791202614661,556
FOSL1,0.00014189694427955147,557
BMAL2,0.00014163345170539187,558
DBP,0.00014028350988925335,559
NR1I3,0.00013972561420890392,560
ZFP42,0.0001383490087804399,561
PBRM1,0.00013820446326064939,562
HOXD3,0.0001380531166733571,563
ZNF143,0.00013777881589713086,564
MAFB,0.00013704068484135707,565
KMT2B,0.00013681777638131128,566
MEF2C,0.00013674866467567882,567
NFYA,0.00013654428440901256,568
DNMT1,0.00013606953848513588,569
NFATC1,0.00013595717233082875,570
NUPR1,0.00013558104398801637,571
HDAC9,0.00013491375495164882,572
NR0B1,0.0001347474612018118,573
HES5,0.00013450615852737732,574
GLI3,0.00013384017743239458,575
DLX2,0.00013286725889069355,576
SMARCC1,0.00013267796038576307,577
HHEX,0.0001326535500966249,578
SMAD2,0.00013256970228319175,579
HOXB3,0.00013255174907591538,580
RXRA,0.00013191298625277645,581
ELF4,0.00013163183387992678,582
FEZF1,0.00013142286932179558,583
ATRX,0.00013137082713997236,584
CLOCK,0.00013069849153459027,585
PPARG,0.0001278392112079511,586
SPIB,0.0001277322817448449,587
NEUROG3,0.00012764694992905372,588
ID1,0.00012718544732012542,589
FOXG1,0.00012557515297354863,590
SOX18,0.00012465478799228435,591
E2F2,0.00012422903158140208,592
ID3,0.0001234300706907258,593
POU4F2,0.00012273430346437426,594
GATA5,0.00012225467708972814,595
MTF2,0.00012164049992264836,596
TBX15,0.00012071155742745531,597
HNF4A,0.00012069814066701194,598
MYCN,0.00012026549692384,599
CREB3L3,0.00012001751606571058,600
KLF2,0.00011868273142094192,601
NR4A1,0.00011858221739728947,602
NKX6-2,0.00011823766129926601,603
MAFG,0.00011821050076669486,604
SON,0.00011809553538668637,605
BCL6,0.00011808796854960354,606
POU4F3,0.00011804876505342085,607
NPAS4,0.00011780123923017527,608
HCFC1,0.00011761844050586964,609
IRF2BPL,0.00011709259037241774,610
PARK7,0.00011670873361181814,611
PIN1,0.00011621959197043452,612
NFE2L2,0.00011591089978442899,613
HOXB1,0.00011520098478960961,614
KLF3,0.00011389133564356039,615
BRCA1,0.0001136114707789441,616
HDAC4,0.00011303722887608576,617
SP2,0.00011260538133797126,618
FOXO6,0.00011246308800044365,619
MEIS1,0.00011210383640118949,620
MYRF,0.00011116607746591474,621
ZNF236,0.00011104341870312358,622
SOX7,0.0001079165959636678,623
JARID2,0.00010786281464287839,624
MTA3,0.00010778358721263241,625
TFDP2,0.00010615406001145781,626
HOXA7,0.0001058683768126419,627
SIX4,0.00010490331951018561,628
NRG1,0.00010482600914423213,629
SMARCA1,0.00010469281229129971,630
ARX,0.00010442488282696634,631
PITX2,0.00010440729759236452,632
AHRR,0.00010351381245451799,633
SMAD7,0.00010288625875755445,634
SMARCA5,0.00010214860899727303,635
TFAP2D,0.00010199171471351558,636
FOXP3,0.0001012684329809943,637
SIRT1,0.00010120964168544392,638
FOXN4,0.0001009922093437865,639
TLX2,0.00010058973044877462,640
MXI1,9.971064426181898e-05,641
POU4F1,9.877066118744912e-05,642
NR3C1,9.856277585974885e-05,643
