tf,rank_42,importance_mean_42,rank_123,importance_mean_123,rank_456,importance_mean_456,mean_rank,in_top20_all_seeds
MBD1,261,0.0004188100907905815,146,0.0010363285839957825,250,0.0004159390214833062,219.0,False
ZNF263,68,0.0010101417040762801,100,0.0011725566807096282,489,0.00019160365266491415,219.0,False
PRDM16,181,0.0005937502024911131,292,0.0005861622640926119,184,0.0005478865833841458,219.0,False
MEF2B,89,0.0008791994574494311,358,0.0004640628386217334,215,0.0004706276621618599,220.66666666666666,False
STAT5B,388,0.0002855526233550639,22,0.0024508066003666802,260,0.00040594031723533894,223.33333333333334,False
ZGPAT,363,0.00030913408600099503,208,0.0007940841022294384,101,0.0007559408385077404,224.0,False
IRF1,270,0.00040958571260413614,167,0.0009345750769474156,238,0.0004292819268205979,225.0,False
ZBTB18,298,0.00037780025795655094,263,0.0006586161992042131,116,0.0006925942236345388,225.66666666666666,False
CUX1,143,0.0006663058160787234,191,0.000843788205384044,349,0.00030697756067183947,227.66666666666666,False
YBX1,328,0.0003464577176562974,166,0.0009486189430428264,192,0.0005268676324021726,228.66666666666666,False
NONO,101,0.0008202906519121218,470,0.0003231556621509905,126,0.0006607464042190259,232.33333333333334,False
HOXB7,9,0.0019760714640142396,238,0.0007301946866694682,452,0.00021862677202507305,233.0,False
HIC1,272,0.00040846040983145336,222,0.0007568933067583809,206,0.0004893625461287835,233.33333333333334,False
MITF,200,0.0005421006210175013,417,0.0003934571694647578,86,0.0008006309916178604,234.33333333333334,False
TBX18,115,0.0007496728857101213,503,0.0002764479646510646,92,0.0007858976528420195,236.66666666666666,False
ETS2,167,0.0006309839833041527,251,0.000695865767571983,292,0.00037410553938741484,236.66666666666666,False
POU2F1,306,0.00036763960176055356,260,0.0006683818402628105,144,0.0006322609887016976,236.66666666666666,False
ZNF219,41,0.0011978848625706937,152,0.0009984589783925911,521,0.00016890781945691675,238.0,False
CDX2,399,0.0002773722331369299,85,0.0012938414538136082,232,0.0004375134753900056,238.66666666666666,False
NKX3-2,62,0.0010435964081504305,224,0.0007550959226136911,433,0.00023000311694734894,239.66666666666666,False
TRIM28,209,0.0005259095642410708,201,0.0008279140308028824,316,0.0003401309497803595,242.0,False
SMAD5,132,0.0006848931336511062,588,0.00018046856206410666,7,0.002150428133609239,242.33333333333334,False
PAX1,345,0.00032778581968765746,186,0.0008577126151067205,197,0.0005204728440124502,242.66666666666666,False
SMAD6,130,0.0006895154556938603,555,0.00021123434675397826,44,0.0010648871864835504,243.0,False
GTF3A,429,0.00024888408903886254,164,0.0009549853556867068,137,0.0006445938558196455,243.33333333333334,False
PBX2,233,0.000455888647578225,367,0.0004424656778761952,134,0.0006470568484473916,244.66666666666666,False
STAT6,268,0.0004110476201598582,281,0.0006162676455308732,186,0.0005378484420589302,245.0,False
WWTR1,190,0.0005599940081083332,120,0.00110746626264131,425,0.0002372301777062565,245.0,False
HOXA1,188,0.000562143704871687,246,0.0007075667885411955,309,0.0003501211805181962,247.66666666666666,False
TBPL1,129,0.00070501154499046,336,0.0005094661915336473,279,0.000384742056299577,248.0,False
HINFP,523,0.00017095784520885596,140,0.0010608772898801058,82,0.0008229772268653809,248.33333333333334,False
TGFB1I1,477,0.0002083253468830056,50,0.0016528075604583137,219,0.00045813945339811347,248.66666666666666,False
DLX4,404,0.00027208834920505374,294,0.0005825161106865077,58,0.0009475174262964477,252.0,False
GRHL2,45,0.0011747125084487682,656,0.00011452284918173442,62,0.0009156457527296879,254.33333333333334,False
FOS,104,0.0008110390087798199,613,0.00016173419011238365,47,0.001044802456059794,254.66666666666666,False
TAL1,331,0.0003443660341948392,169,0.0009197214026850513,274,0.00038997120345053796,258.0,False
MED1,319,0.0003555154708616707,192,0.0008434435889891271,264,0.0004006055481719765,258.3333333333333,False
LYL1,158,0.0006451716305756842,359,0.0004617372466782399,266,0.0003975668766997842,261.0,False
HIF1A,151,0.0006545812245275802,547,0.00022441275799186164,88,0.0007962920307515257,262.0,False
HOXA10,164,0.0006370459971473489,205,0.0008064608626682457,417,0.0002425710992831398,262.0,False
HNF1A,139,0.0006759475709638233,478,0.00031277194501247625,170,0.0005817487177372034,262.3333333333333,False
ZNF410,120,0.0007393297854681198,416,0.0003954893366350613,251,0.0004156422138836528,262.3333333333333,False
PITX1,166,0.0006321365105425987,507,0.0002742062930622069,115,0.0006929853190134357,262.6666666666667,False
RBPJ,289,0.00038966214535018174,324,0.0005234676222547326,177,0.0005665007669146386,263.3333333333333,False
E2F3,410,0.00026451098487238295,237,0.0007311981737681587,143,0.0006339339250644116,263.3333333333333,False
NFIA,586,0.0001377392815196406,55,0.0015871286576687757,150,0.0006224252533608402,263.6666666666667,False
HOXA13,121,0.0007377054735722292,504,0.0002762709579836079,172,0.0005732276066131211,265.6666666666667,False
ZNF804A,367,0.0003072106144827558,226,0.0007526356239395682,205,0.0004915692141670055,266.0,False
ZMYND8,128,0.0007113764524622942,328,0.0005210972883257152,346,0.0003089705377012327,267.3333333333333,False
FOXG1,83,0.0009200807261549926,130,0.0010831626789695292,590,0.00012557515297354863,267.6666666666667,False
E2F2,145,0.0006595064958228628,70,0.001455253448731734,592,0.00012422903158140208,269.0,False
FOXN1,297,0.0003800425095657071,243,0.0007205254572909325,269,0.00039637341966833144,269.6666666666667,False
SOX4,763,3.150562372518095e-05,44,0.001737214256960821,3,0.0023757954337876677,270.0,False
HOXC6,275,0.00040541623219496613,240,0.0007267373406345238,300,0.00036646308111206355,271.6666666666667,False
HOXA11,502,0.00018844061426837773,133,0.0010780366190980808,181,0.0005596755748532208,272.0,False
