# Signed IG attribution: mean across seeds x TNBC cells per (TF, drug). Rows = top 20 TFs by global IG importance.
# Sign: target=predicted AUC. POSITIVE attribution -> higher TF activity raises predicted AUC -> resistance driver. NEGATIVE -> sensitivity driver.
tf,erlotinib,brigatinib,osimertinib,saracatinib,pelitinib,trametinib,entinostat,indirubin,BVD-523,BMS-690514,lestaurtinib,dasatinib,rociletinib,AZD8931,semaxanib,7-hydroxystaurosporine,paclitaxel,docetaxel,epirubicin,olaparib
TET1,-5.076861210303226e-05,-4.8812291424837895e-05,-6.26136288701673e-05,-6.464332121443779e-05,-5.577024633870072e-05,-3.362191910127876e-05,-3.412798226539356e-05,-5.814701914156709e-05,-5.008082553104032e-05,-4.930670729663689e-05,-5.005460783043721e-05,-3.830536904085117e-05,-6.357295690880467e-05,-4.908492640727976e-05,-5.79586018526849e-05,-4.3904677416624814e-05,-3.412689360023554e-05,-2.8146028247041006e-05,-5.759362011303892e-06,-4.90064091233459e-05
SETBP1,0.00017944806313607842,0.00017962822069724402,0.00015577316905061403,0.0001588899661631634,0.0001472334067026774,0.00015356730727944523,0.0001548448441705356,0.00017390559272219738,0.0001815189946986114,0.00018040238743803153,0.0001631234772503376,0.0001557063175520549,0.00016433246006878713,0.00017815482472845665,0.0001740752971575906,0.00015954448220630488,0.00016180419576509544,0.00015166825808895132,4.964084655512124e-05,0.00018009122383470336
ASXL1,-0.00024270215847839913,-0.00024483647333302844,-0.00019485184748191386,-0.00019239473719305047,-0.00020598519768100232,-0.00020052315570258847,-0.00020298657182138413,-0.0002263840772987654,-0.000251005976072823,-0.00025133855039409053,-0.0002439893335880091,-0.00020844466052949429,-0.0001995961987025415,-0.0002508229178298886,-0.0002269724888416628,-0.00024356312739352384,-0.00020385241077747196,-0.00021644683632378778,-0.00019628487886317694,-0.0002485917163236688
SPDEF,-8.42140977207843e-05,-8.448878391694355e-05,-4.570904578334497e-05,-4.75497736260877e-05,-3.9233971316813644e-05,-3.784319991003334e-05,-3.578740870580077e-05,-7.370217675391662e-05,-8.639765595338152e-05,-8.685949918193121e-05,-5.6196582894093204e-05,-3.384865188612215e-05,-5.770225167604318e-05,-8.854150049349603e-05,-7.499425100832013e-05,-4.495483244681964e-05,-3.6967011510569137e-05,-3.242705406591995e-05,1.635016587897553e-05,-8.565388452552725e-05
ZNF362,0.0004649035470265517,0.0004625362123533705,0.0004490277406906292,0.00045021915419359476,0.0004411968369974299,0.0004337669426301242,0.0004301746383437906,0.000461359452325875,0.00044509982133907516,0.0004438133010656505,0.0003057587482544477,0.00042019889815492206,0.0004563464272753966,0.00044799712221295823,0.0004625343742645782,0.00030358313862658787,0.00032841558042188507,0.0003139182430610769,0.0002607240890029061,0.00044900244127650996
SIX3,0.00035458232984334853,0.00035721378662856296,0.0003387038377695717,0.0003350224336221193,0.0003512943779545215,0.00034070077769380686,0.0003407354937129033,0.00034657739646111924,0.0003602107074887802,0.00036022427714973065,0.0003074588336554977,0.000334701932539853,0.00033372078420749557,0.0003599112630278493,0.00034647832944756374,0.00031900734999605146,0.0003168092298437841,0.00032645529427099973,0.00023701009437597045,0.00035978022303121787
DNMT3A,0.0007392472622692973,0.0007436103933287086,0.0006698197600295922,0.0006723674250679323,0.0006658173606410855,0.0006366629731928697,0.0006366200771784255,0.0007244144314123938,0.0007590984296257375,0.0007618326441540072,0.0006157917111219527,0.0006368195105703004,0.0006899850674623546,0.0007642221292674852,0.0007248107334210848,0.0006214102249941789,0.0006455299129205135,0.0006470103950656873,0.000522622558492003,0.0007540888212436888
KLF8,-0.00034410247735650046,-0.00034453307004393235,-0.0003060928656850592,-0.00030801669254287845,-0.0002992213464191688,-0.000303976381777223,-0.00029986124566979316,-0.0003350302716474592,-0.00034328186241812847,-0.00034502289539280656,-0.0002039439959844458,-0.0002929008533101296,-0.0003195710623913328,-0.0003497573446414511,-0.0003360112550581107,-0.0001984928070063082,-0.00021680192276107846,-0.00020934186553252707,-0.00016094923042449713,-0.0003429406679060776
ZBTB7B,-0.0012710000495038305,-0.0012707395993250732,-0.0012651143624680117,-0.001265138261563455,-0.0012639165870496072,-0.0012567836383823305,-0.0012557437027377698,-0.001272659329212426,-0.0012692443876100394,-0.0012697131702831637,-0.001093407425893626,-0.001246310115675442,-0.0012688569234645304,-0.0012715271004708484,-0.0012721325013747749,-0.0011051467809011228,-0.0011429490041336976,-0.0011389488402831678,-0.0009398026486451272,-0.0012703950778814033
RUNX2,-0.0007293833477888256,-0.0007323480361568121,-0.0006751830393720107,-0.0006753800043952651,-0.0006734151538694277,-0.0006628087964296961,-0.0006580191839020699,-0.0007077459886204451,-0.0007425995548449767,-0.000743725928865994,-0.0005726254409334312,-0.0006374727527145296,-0.0006844920984197719,-0.0007425254249634842,-0.000709237065166235,-0.0005836298344850851,-0.0005672820431451934,-0.0005681966795236804,-0.00045186632390444476,-0.0007401283704287683
