# IG global importance: mean |attribution| across seeds x TNBC cells x drugs (3 x 12 x 11 = 396 samples per TF).
# Non-signed (magnitude). For signed per-drug see tf_drug_ig_signed.csv.
tf,importance_mean,importance_std,importance_ci_low,importance_ci_high,rank
NFATC2,0.0010184683656420516,0.0007470698921148212,0.00024304889666382223,0.0032741667237132788,66
FGF2,0.0010120204974417434,0.0007366327003911798,0.00020162572036497295,0.0024449648335576057,67
STAT2,0.0010113870430359384,0.000827329839964143,0.00011913084745174274,0.00297097978182137,68
KLF12,0.0010093110426113885,0.000775015987856544,0.00011394081229809672,0.0029503386467695236,69
ZNF263,0.0010054301637865137,0.0007567739304967276,0.000155908681335859,0.002553898375481367,70
TLX3,0.000988872446407296,0.0004379008348920033,0.0003537546144798398,0.0017776662716642022,71
HIPK2,0.0009825175508756895,0.0007337896661410434,2.2650569007964805e-05,0.002477850066497922,72
ZEB2,0.0009810892370296642,0.0005902811808589735,0.00010218525858363137,0.0022121008951216936,73
MAX,0.0009728211040386337,0.0006769051415665462,0.00016964867245405912,0.002368790563195944,74
FOXC1,0.000972109565213252,0.0005700392408697001,0.00032680208096280694,0.002213184256106615,75
TFDP1,0.0009639235369391055,0.000663488197987203,3.726155773620121e-05,0.002385505707934499,76
FOXP2,0.0009586229708392322,0.0006421901610648582,6.583291542483494e-05,0.0026849177666008472,77
FOXG1,0.0009568161061024787,0.0005698462006289055,0.0001164843124570325,0.0019205971620976925,78
ELF5,0.0009508228180713944,0.0007025845826782227,0.000101984798675403,0.0019914598669856787,79
SP1,0.0009398771169697518,0.0007524849669021409,2.3893626348581165e-06,0.002532315207645297,80
MEF2A,0.0009391884501162691,0.0006286304868162406,0.00010294553067069501,0.0021232578437775373,81
ZNF335,0.0009365865478850372,0.0007476025956670964,4.578191146720201e-05,0.002574713435024023,82
ID4,0.0009226654277550882,0.0008615073906707054,0.0001120585438911803,0.003050723113119602,83
SALL1,0.0009029265879551972,0.0005560811260801112,0.0001184645079774782,0.0019237496890127659,84
NCOA6,0.000894009702306269,0.0006523508934716288,0.0001494314637966454,0.0022827116772532463,85
PRDM1,0.0008898666847292616,0.0007875410245847795,0.00021584724890999496,0.003237335244193673,86
BCL11A,0.0008883369460322269,0.000760057413370187,9.194977610604838e-05,0.0032026160042732954,87
NR3C2,0.0008873610493152007,0.00048760245334681,0.00011842241656268016,0.002060374477878213,88
USF2,0.0008755192165236539,0.0004355839910774013,0.00026719458401203156,0.0016192393377423286,89
MEF2B,0.0008752531555618396,0.0005662698751144847,9.718202636577189e-05,0.0018285498954355717,90
NFKB1,0.0008735309582775561,0.0006291796051349546,6.308887532213703e-05,0.002229710342362523,91
HMGB2,0.0008715328263916132,0.0006671921837786589,0.00015570450341328979,0.002494701649993658,92
TBXT,0.0008697708017693499,0.0004834050247214896,3.3494605304440483e-05,0.0017556786770001054,93
TWIST1,0.0008681860954277109,0.0009236802728001844,9.824363587540574e-06,0.0037809330970048904,94
BARX1,0.0008640021823008614,0.0006024254822907323,2.8896567528136075e-05,0.0023084094282239676,95
ZBTB33,0.000860491857482967,0.0004941402584230857,6.613114237552509e-05,0.0017112583154812455,96
POU4F2,0.0008512347736045326,0.0007377378834405055,5.261491969577037e-05,0.0021848699543625116,97
NONO,0.0008420091000351187,0.000502595888446954,0.000157559581566602,0.0021907563786953688,98
TEAD1,0.0008388151160364611,0.000791607484991354,7.766295311739668e-05,0.002876342972740531,99
NR2E1,0.0008376420268673842,0.0006007697643099973,4.8025391151895747e-05,0.0021304357796907425,100
PHF5A,0.0008331864320842379,0.0004831235007793745,0.00034327179309912026,0.001938077388331294,101
DMTF1,0.000833068277477816,0.000544512602261477,8.929469913709909e-05,0.002049685688689351,102
FOS,0.0008225072263512905,0.0007398328555448255,2.7440430130809546e-05,0.0026150390040129423,103
PPARD,0.0008210805422002705,0.0006228711240111247,1.5658693541809043e-07,0.002217706525698304,104
RXRA,0.0008101702831371574,0.0005413115262112873,0.00022775224351789802,0.0021194228902459145,105
SREBF2,0.000808957260742869,0.0006582075934147189,3.431803997955285e-05,0.0017977143870666623,106
FOXE1,0.0007955313669960808,0.00040970873188723837,5.639063601847738e-05,0.0015865928726270795,107
ASCL2,0.000792704949107605,0.0005065084617760509,6.23216837993823e-05,0.0015874498058110476,108
RXRG,0.0007913825496540416,0.0007816996815744014,3.367089811945334e-05,0.0024850957561284304,109
NFATC4,0.0007902142129255067,0.0005152041666049862,8.351232099812478e-05,0.0017308579990640283,110
CEBPB,0.0007841632782263773,0.000438132888570802,0.00011065472062909976,0.0015596265438944101,111
KDM5B,0.0007841234831754595,0.0006501209826701858,4.845449802814983e-05,0.002056090859696269,112
ZNF350,0.0007813090624040342,0.00047569557345824426,5.721325214835815e-05,0.0017239692388102412,113
BMAL2,0.0007795049329312557,0.0006723161809470298,4.4598451495403424e-05,0.0025478850584477186,114
THAP11,0.0007645722594822997,0.0005000215101582569,0.00014309535617940128,0.001807189080864191,115
KAT7,0.0007612062777435781,0.0005066160323673556,8.920969776227139e-06,0.0017177676782011986,116
MTF1,0.0007594177645704335,0.0005936128150003953,8.315953891724348e-05,0.0020613938104361296,117
ZNF410,0.0007591976918223681,0.0004860972364508751,6.167848914628848e-05,0.001743011875078082,118
HOXA13,0.0007563796558646242,0.0006665219455431303,6.935834971955046e-05,0.0027337586507201195,119
SP3,0.0007522038465112653,0.0005309148573364362,0.00011330898996675387,0.0017290699761360884,120
ZNF699,0.0007336323909509123,0.00048818567251917937,4.5322347432374954e-05,0.001471049734391272,121
TBX18,0.0007331868775481505,0.000633819416639847,5.622096068691462e-06,0.002495903056114912,122
TBX6,0.0007315029022825483,0.0009117962002252786,1.385226482852886e-06,0.0035877549089491367,123
REST,0.00072620289828399,0.00039627461260672225,0.00016023291391320527,0.001490960014052689,124
SKIL,0.000720082205864883,0.0003410990634260128,0.0003052274987567216,0.0016490452690050006,125
HNF1A,0.0007190355816033623,0.0005526914311288517,4.410968176671304e-05,0.0019110608845949173,126
ETV4,0.0007170707650595542,0.00042723433150712597,5.759962004958652e-05,0.0015762306284159422,127
GATA1,0.0007168775862903038,0.0004939953910103395,9.522937762085348e-05,0.001818502671085298,128
ELF2,0.0007157488787263653,0.0003732675155430989,0.0001594469795236364,0.0012964151101186872,129
EGR1,0.0007120992478038798,0.0003304403879209524,9.270946611650288e-05,0.0012364706490188837,130
MEOX1,0.0007103195949556804,0.0006315982101915786,3.235407348256558e-05,0.0021260676439851522,131
TBPL1,0.0007101480195243229,0.0007357749623609289,0.00010617299267323688,0.0027112774550914764,132
HOXA9,0.0007089329233580925,0.0006141801293137766,8.971630450105295e-05,0.00183055829256773,133
SMAD5,0.0007042816210521393,0.00043714050610750983,0.00014657160500064492,0.0015789653407409787,134
LHX2,0.0007023705782998921,0.00039004942420500874,6.533911073347554e-05,0.0015324323903769255,135
SMAD6,0.0006980671454254083,0.0006160697762834981,5.326673635863699e-05,0.002052090596407652,136
ZMYND8,0.0006959980588968998,0.0006218451289314058,1.9093347873422317e-05,0.002075068186968565,137
HOXD13,0.0006929570592657194,0.0005979035173721412,3.3071210054913536e-05,0.0018597646849229932,138
VDR,0.000690509332716002,0.0005331049519047392,4.286488183424808e-05,0.0017261123284697533,139
CUX1,0.0006904761189203286,0.00047711149798783105,9.943911572918296e-05,0.0016831946559250355,140
HDAC1,0.0006853509213408071,0.00043790572196481073,7.637170347152278e-05,0.0013799613807350397,141
NOTCH1,0.0006825683899616265,0.000514710115138186,0.00010338022548239678,0.001973166596144438,142
NFKBIZ,0.0006793371155777784,0.00044016820519984394,8.181570592569187e-05,0.001839325064793229,143
UTF1,0.000678730984514969,0.0004710118385098679,2.4194534489652142e-05,0.0017835390754044056,144
ZIC2,0.0006781645486515833,0.00047511461431142476,0.00019175709167029709,0.002020969521254301,145
ATF3,0.0006780681094162653,0.0009280473203067865,2.2090558559284545e-05,0.0032662926241755486,146
HIF1A,0.0006771153563964604,0.0006786126361927623,1.8526727671996923e-06,0.0019146674312651157,147
ELF3,0.0006711044258157596,0.0003091037380388218,0.00022460702166426927,0.001338550471700728,148
LYL1,0.0006710681259667608,0.0005676219027049269,1.5050006368255708e-05,0.002038078848272562,149
AHRR,0.0006681508320153542,0.0003776619828125032,7.588810694869608e-05,0.0012680565705522895,150
SMAD4,0.000665822417156023,0.0004940441739638585,0.0001833922869991511,0.0022746881004422903,151
E2F2,0.0006612671837113263,0.0005356759059436412,8.14173290564213e-07,0.0017410636646673083,152
ZKSCAN7,0.0006605894804155552,0.0006395015602082084,1.5802427242306294e-06,0.002372311195358634,153
ELK3,0.0006577278875214909,0.00039033046060758976,0.00012619944754987955,0.0015080519951879978,154
