tf,importance_mean,importance_std,rank
ELF4,0.00048508058016339404,0.00012855744440081772,349
ZNF331,0.00048354166890912713,0.00024383030806437192,350
GLI3,0.0004807165288009929,0.00021462631899551077,351
PHF20,0.00047833502944143614,0.0003138903302132325,352
CRX,0.0004781598594309348,0.00021463704312896803,353
CTBP2,0.0004768424939924348,8.987455236798872e-05,354
ZNF217,0.0004764174980944591,0.00021640555351401522,355
POU2F3,0.0004749860895204583,0.00019872176551220613,356
IRF6,0.0004742738211214944,0.00023751645461187352,357
OLIG1,0.00047379573885736494,5.5824849783991214e-05,358
PAX1,0.00047114273031363126,0.00035579913614308765,359
DOT1L,0.0004657908000671159,7.833734802750428e-05,360
ID2,0.0004654699655046431,0.00019731046889950093,361
BATF,0.0004654394198739898,6.832632843073605e-05,362
HMGA1,0.0004651654200546491,0.0001434057832396408,363
PAWR,0.00046297318974600237,0.00015850067059951014,364
TLX2,0.0004614605508157061,0.00011921107719419305,365
NR3C1,0.0004590619307852437,6.901681317351749e-05,366
STAT6,0.0004584861408241148,7.56695456581744e-05,367
ESRRA,0.0004583268593379593,0.00020233501971421729,368
TAL1,0.0004559925842207149,0.00018550074943599727,369
SPIB,0.00045531231379849064,0.0003270031830311454,370
KAT6A,0.0004516435350101668,0.00012961745712726045,371
ATF5,0.0004489503167091854,0.00020887736699605402,372
TBX1,0.00044803295554572166,0.00015134665798544845,373
ASCL1,0.00044721797526645486,0.0002389770135255383,374
CTNNB1,0.0004416091931025703,0.00018157891518725674,375
TFDP2,0.0004407825271509681,0.0001547324040114504,376
TP63,0.0004385146916437214,0.0003257381110383832,377
ZNF24,0.00043740912929268516,0.00015252466682082302,378
TGIF1,0.0004350491558627732,0.00017380934623705726,379
ZFHX3,0.000434471242883636,5.035291537185977e-05,380
POU3F2,0.0004341064999460635,0.00021514012146971553,381
ZNF202,0.0004314698362830111,0.000115176245070244,382
NFATC3,0.0004265891113548156,8.491319373358166e-05,383
JDP2,0.00042455069756449715,0.00021110691535899752,384
PIAS1,0.0004221939730190239,0.00027360385843856,385
POU2F1,0.00041872114399432053,4.360194582346466e-05,386
RXRB,0.0004182789497993629,5.23937987283492e-05,387
ATF1,0.00041761796608475013,3.4427833819581503e-05,388
GCM1,0.00041760845737477356,0.00021378486096644707,389
NHLH1,0.00041609303126035523,9.306082625708714e-05,390
DLX4,0.00041595979480566907,0.00016765086713411203,391
FEZF2,0.00041504779424122724,0.00017379811343588226,392
KLF17,0.00041396880776620035,0.0003355852115901507,393
NFYC,0.0004131619260117922,3.0446118878202864e-05,394
HCFC1,0.0004130479302846358,0.00020019961363006646,395
MITF,0.000412717287538053,0.00011308147041129695,396
SPI1,0.00041243490398736445,0.00031167745254400195,397
ENO1,0.0004123584525474382,0.00024394995256920977,398
ZNF423,0.0004122365913631118,0.000137086980706949,399
FHL2,0.00040872536709400144,0.0001793701716122021,400
SSRP1,0.0004081187260030422,0.00014798619570261797,401
E2F3,0.00040731828230583246,0.00012386316326747546,402
FOXL2,0.00040544919692743893,0.00018362338016346,403
FOXH1,0.0004032908569665595,0.0002774652320609442,404
ERG,0.0003998801648168236,0.00028668200146698893,405
FOXN1,0.0003991153052304457,3.814649818113691e-05,406
NFIB,0.0003982903192708722,9.515709425179945e-05,407
HOPX,0.00039641817399645635,0.00012340919830638615,408
HSF4,0.0003957666989312086,0.00016291112167752386,409
TEF,0.00039062845223118687,6.316384183210928e-05,410
TBP,0.0003902885129151639,7.52745774829752e-05,411
IRF5,0.000388618101474875,8.808872393442547e-05,412
PLAG1,0.0003884591320075568,0.00018079169087240965,413
GTF2IRD1,0.00038812143334566963,0.00017184882167697293,414
YAP1,0.0003871531717510408,0.00016849301359992758,415
CDX1,0.0003857295812990013,0.0002570124658973593,416
SRF,0.000384614339409914,0.0002479714331800471,417
HSF1,0.0003843679451386429,0.00013853495124978386,418
SIM2,0.0003837447013022874,9.718180376067369e-05,419
SOX2,0.0003830935474658386,7.754672814845599e-05,420
VEZF1,0.00038289798512686495,9.75442086719184e-05,421
ZGPAT,0.0003819479982579688,0.00011439272511416088,422
ZBTB38,0.0003802683246350272,0.00020728908624533524,423
NOTO,0.0003801001906431981,7.986860622748054e-05,424
MYOD1,0.00037865977342139886,0.00017161737147622814,425
ETV2,0.00037807133434375023,0.000232545569802204,426
NR4A3,0.0003762120994242834,3.6889719715401946e-05,427
TFCP2,0.0003752311635472184,0.0002684951958094458,428
ELK1,0.0003745809935108727,0.00013916967071977082,429
USF1,0.00037362822144148877,9.45437870209266e-05,430
CLOCK,0.0003725151342554124,0.0001382932629173267,431
RUNX1,0.00036855414429216366,0.00015548023378054006,432
ATF2,0.000367700739094413,0.00029184690607744193,433
HAND1,0.00036728815749631044,0.00014285308241549324,434
NFIL3,0.0003659698844893703,4.727596028283447e-05,435
CREB3,0.0003654121000617276,0.000213761606638298,436
NEUROG1,0.0003639930290543674,0.00013955180327974718,437
NR4A1,0.0003633856558207473,0.00014362888237086894,438
LHX4,0.00035972458333893,0.00014190930420331487,439
