tf,importance_mean,rank
MED1,0.0003739892117388963,309
CTBP2,0.0003730294956078455,310
PATZ1,0.0003717349930852696,311
ESRRG,0.00037145795853244965,312
IRF6,0.0003705604591011775,313
RBPJ,0.00037015763047582533,314
HOPX,0.00037013070008966184,315
CEBPA,0.0003679988267184385,316
HDAC4,0.00036503814361353625,317
NEUROD1,0.00036490215874933216,318
FOXO1,0.00036455596040973364,319
MYBL1,0.00036417256485561444,320
PHF20,0.0003611013473318687,321
SRY,0.0003609781371475644,322
NOTO,0.00035743970698659365,323
NPAS4,0.0003570889224592423,324
ASCL1,0.0003563531432574206,325
FOXJ1,0.0003551391747345695,326
ONECUT1,0.0003540837820199875,327
YBX1,0.00035220442888120573,328
IRF1,0.00034990531119919154,329
CREB3L3,0.0003468247867989372,330
EZH2,0.00034624943881763926,331
KMT2B,0.0003450260188112059,332
FOXL2,0.0003413730167156962,333
ETV5,0.0003398831434133103,334
FLI1,0.0003394081577012416,335
TFDP3,0.0003391912325455313,336
SALL4,0.0003378057852294412,337
NR2F2,0.00033733064031101395,338
NFIL3,0.00033559936290464867,339
TBX15,0.0003324547790202125,340
TBR1,0.00033229465378264484,341
PPARA,0.00033210007174575094,342
USF1,0.0003317071160040541,343
NKX2-1,0.0003306936819240725,344
PAX1,0.0003300382563345534,345
BRCA1,0.0003286469046632633,346
OVOL1,0.00032853213421428035,347
IKZF2,0.0003282972849057952,348
HMGA2,0.0003277501617765555,349
ETS1,0.0003258658344975629,350
EGR3,0.0003258212728090284,351
NFATC3,0.00032571438448554324,352
TOX,0.00032403275032045326,353
ZNF395,0.0003222482121421335,354
FOXA2,0.00032223540170944585,355
HOXB13,0.00032155817337187534,356
RCOR2,0.00032138178338562176,357
ZGPAT,0.00031978473443263226,358
ATF5,0.00031939525932543665,359
NFYC,0.000318933955978454,360
NR1H3,0.00031790322495770385,361
TFAP4,0.0003157209720825449,362
RREB1,0.0003149413336528238,363
TAL1,0.0003148138690503953,364
BACH1,0.0003122575295134139,365
TEAD4,0.0003112922716382221,366
YY1,0.0003097058560666538,367
SOX11,0.0003095072419951479,368
TCF4,0.0003090019154941811,369
TFDP2,0.00030827048508261657,370
ESRRA,0.0003077619778306336,371
SIM2,0.00030637440853076964,372
RFX4,0.00030630822787929213,373
KAT6A,0.00030197298351733036,374
DLX4,0.0003018059245677608,375
HOXC8,0.0002981221436970593,376
NHLH1,0.00029724152442544107,377
CRX,0.0002968680755502233,378
TBX3,0.0002964951122556048,379
NFE2L1,0.00029556034159020675,380
FOXD1,0.00029445305288831923,381
NKX2-2,0.00029416075111646825,382
TSHZ3,0.0002932205589979386,383
ETV6,0.0002931359652421,384
HOXB3,0.00029204649764620405,385
FOXQ1,0.00029061755164796273,386
SPIB,0.00029039591897179145,387
FOXO6,0.0002896398161117924,388
KAT6B,0.0002886474793547567,389
MYRF,0.00028815956543302025,390
ZNF804A,0.00028788395064277046,391
PIAS1,0.00028678120088443393,392
LHX4,0.00028116567620434745,393
AIP,0.00027996819618568804,394
ZNF217,0.00027838307706436655,395
NANOG,0.0002779918742100673,396
CTNNB1,0.0002764560784824384,397
HSF4,0.0002759861313382895,398
MAFB,0.00027592657785086857,399
SPI1,0.00027420790012332543,400
MKX,0.0002739862188163174,401
E2F3,0.00027369998512464616,402
YAP1,0.0002685469034986454,403
NFIC,0.00026447184259406197,404
EN1,0.0002644408009266706,405
BMAL1,0.0002643659883405378,406
ZNF331,0.00026338169716451154,407
CDX2,0.0002611633722877245,408
ESRRB,0.00026111474438618063,409
UBTF,0.00026047667051898316,410
NEUROG1,0.00025967325240289387,411
LMO4,0.00025886201125434707,412
MAML1,0.0002586290492438297,413
ING4,0.00025824922821619003,414
TGIF1,0.0002571332990390312,415
MYBL2,0.0002565306790047268,416
FOXF2,0.00025620072730789343,417
RFX3,0.00025613295370228366,418
NR1I2,0.0002546624332009025,419
RUNX1,0.00025290934814675535,420
RORC,0.00025142342829812236,421
POU3F4,0.00025096143938850275,422
NKX6-2,0.0002508750978560067,423
FEZF1,0.0002494459090209575,424
KLF7,0.0002491130686862699,425
TBX21,0.000248078834071445,426
EPAS1,0.00024807622635721185,427
ZNF202,0.0002472811933008264,428
ISL1,0.0002453721420138346,429
ID2,0.00024387270061789891,430
BCLAF1,0.00024360879059382899,431
NFKB,0.00024302997222534805,432
NFATC1,0.0002426091519723603,433
DLX3,0.00024216710271778567,434
ENO1,0.00024171396324329015,435
ELK1,0.00024119193208069632,436
POU4F3,0.0002408465012870169,437
HSF1,0.00024007702887880186,438
CTCFL,0.00023914533861834502,439
VEZF1,0.00023705615355786657,440
HES1,0.00023648239090507008,441
PEG3,0.00023639807554073658,442
CLOCK,0.00023581862859083975,443
ATF2,0.00023570730353257701,444
HLF,0.00023341097197992372,445
SMARCA1,0.00023303678727698394,446
DLX5,0.00023288969397454324,447
BCL11B,0.00023090227863797213,448
GTF3A,0.00023072222919643426,449
SOX2,0.00022949260457106777,450
GCM1,0.00022804105477741194,451
MSX2,0.0002275873316717259,452
MYOD1,0.00022703406631824856,453
NFE2L3,0.00022680415670286246,454
FOXH1,0.00022611671179082336,455
TLX2,0.0002257638838769212,456
RFX5,0.00022554224555543402,457
NRG1,0.00022543964875649868,458
ARID3B,0.00022541195780969716,459
CHD4,0.000224613811042218,460
PAX7,0.0002240331657090296,461
MAFK,0.00022372485174552517,462
KLF13,0.00022266728428441886,463
STAT5B,0.0002223256418539787,464
FOXP3,0.00022037908819460097,465
MNT,0.00021924316164048915,466
NRF1,0.00021890019936959658,467
MIXL1,0.0002184116624104001,468
HNF4A,0.00021753708119192353,469
SNAI2,0.00021747858417770107,470
FEZF2,0.00021727558017422174,471
MXD1,0.00021621782702203,472
ID1,0.00021375801982471921,473
FEV,0.00021366189186224028,474
ZBTB17,0.00021317734898261597,475
HOXD1,0.00021250146880557816,476
BHLHA15,0.00021249945196318137,477
KLF15,0.00021201705192542056,478
SMAD2,0.00021055543859746254,479
HOXB6,0.0002086937705908812,480
RARB,0.0002083624676773201,481
TEF,0.00020766586375788339,482
DDIT3,0.00020744825218860734,483
TRERF1,0.00020652391975256086,484
TCF12,0.00020616034349917425,485
LMO2,0.00020411158946368838,486
JDP2,0.00020396872324888383,487
FOXD3,0.0002035251273940472,488
SMAD1,0.000201677107884021,489
NFIX,0.00020060555341112348,490
ARID4A,0.0001989152315011531,491
ZNF382,0.00019823722001974326,492
MTA3,0.00019773078077956927,493
HESX1,0.00019708421870856193,494
ZNF236,0.00019195673642688902,495
PAX3,0.000191035380573863,496
TBP,0.00019083285165432892,497
ATOH7,0.00019013397074256014,498
TBX5,0.00018840316525456453,499
ZNF423,0.00018762894814189525,500
EBF3,0.00018750868517517202,501
E2F6,0.00018636513833377688,502
HDAC7,0.00018625929457853502,503
KLF11,0.00018589506407806766,504
ZNF91,0.00018538874175619364,505
HINFP,0.00018490492417792362,506
