# IG global importance: mean |attribution| across seeds x TNBC cells x drugs (3 x 12 x 20 = 720 samples per TF).
# Non-signed (magnitude). For signed per-drug see tf_drug_ig_signed.csv.
tf,importance_mean,importance_std,importance_ci_low,importance_ci_high,rank
AHRR,0.0006816740987536225,0.0003817856385543745,7.591340436192695e-05,0.0012680810934398324,148
LYL1,0.0006787003808426562,0.0005704635288173313,1.504894535173662e-05,0.0020788368943613017,149
SMAD4,0.0006739871367850962,0.0004937612662832421,0.00018319154842174614,0.0022513497504405675,150
E2F2,0.0006737278744098537,0.0005321494784619842,8.140225602915052e-07,0.0017769274505553762,151
ELF3,0.000673413097805072,0.0003120154010189484,0.0002242933856905438,0.0013404227211140096,152
ZKSCAN7,0.0006678640551982084,0.0006422613927825192,1.5800133212451329e-06,0.0023824346717447042,153
PHOX2B,0.000665403253393985,0.0004776504480742011,0.0002051254861726193,0.002177460351958871,154
NKRF,0.0006622196972633295,0.0005702192289632344,6.620349286095007e-05,0.002030540257692337,155
ELK3,0.0006604296695816932,0.00039074174135970925,0.00012609599561983487,0.0015242089313687755,156
FOXM1,0.0006587446542046867,0.0004741809904242021,9.636649083404336e-05,0.0015621772035956383,157
HIVEP2,0.0006579823662226166,0.00042224812843289747,0.00014474455092567952,0.0015918574063107365,158
HOXA10,0.0006567553069354896,0.0007128478836628665,2.1349553480831674e-05,0.0024954278487712145,159
MECOM,0.0006530164892562122,0.00044943888186434097,7.000966797932051e-05,0.0015624017105437813,160
SMAD7,0.0006490990643435168,0.0005287420103229415,1.5119448221412314e-06,0.002362943487241864,161
PREB,0.0006468908173019372,0.00038645106033525877,8.390626953769244e-05,0.001424150075763464,162
ETS2,0.0006452693238012823,0.00045024006283182424,5.6422771285724595e-05,0.00174858363752719,163
GSC,0.0006448882813553307,0.0003918310205461815,0.00013151089951861651,0.0013921250647399572,164
KAT5,0.0006427011554781833,0.00039473556295119695,2.789735021906381e-05,0.0013763876660959793,165
NR0B2,0.0006381738085716886,0.00046488074613473585,3.752383881874266e-05,0.0016343086201231916,166
PITX1,0.0006370392943154002,0.00048612983025769167,3.7900037568761036e-05,0.001684886054135859,167
JUN,0.0006369843895697614,0.0005405927063929025,5.2986666742071985e-05,0.0022608099970966578,168
NPAS2,0.0006343039835580082,0.00047903062577782466,8.454173803329468e-05,0.0015816643543075768,169
XBP1,0.0006334463678588993,0.00040821015736535886,0.00011703354539349675,0.0014933710917830467,170
PGR,0.0006213757851886233,0.0004030189548438803,0.00021902378030063118,0.0017111165449023244,171
PRDM16,0.0006152567732594131,0.0003755090210720684,0.00016325658398272936,0.001541092642582953,172
FIGLA,0.0006117411033907653,0.00038481637642779785,7.809581165929558e-05,0.0014874162530759349,173
SOX5,0.0006064951019804236,0.00040944517623597415,9.826996429183055e-05,0.001577946124598384,174
