drug,mean_predicted_auc,std_predicted_auc,min_predicted_auc,n_cell_lines,subtype,rank
elesclomol,0.72960085,0.03606371,0.6662321,22,Breast (including 12 TNBC),157
docetaxel,0.7321854,0.03609016,0.66875446,22,Breast (including 12 TNBC),158
napabucasin,0.7335327,0.036085475,0.67012745,22,Breast (including 12 TNBC),159
CB-10-277,0.73387796,0.036082212,0.67055905,22,Breast (including 12 TNBC),160
dichlorvos,0.73389554,0.036100056,0.6706128,22,Breast (including 12 TNBC),161
GSK923295,0.7357231,0.03615073,0.67236507,22,Breast (including 12 TNBC),162
pirenperone,0.7369459,0.036096424,0.67353785,22,Breast (including 12 TNBC),163
paclitaxel,0.7371778,0.036140095,0.67379117,22,Breast (including 12 TNBC),164
TH-302,0.7384022,0.03614455,0.67508245,22,Breast (including 12 TNBC),165
bardoxolone,0.7384264,0.03612715,0.675063,22,Breast (including 12 TNBC),166
I-BET151,0.7392234,0.036125124,0.6758467,22,Breast (including 12 TNBC),167
k-strophanthidin,0.7394791,0.03616809,0.6760798,22,Breast (including 12 TNBC),168
disulfiram,0.7428915,0.036206182,0.67937666,22,Breast (including 12 TNBC),169
SB-218078,0.74307495,0.036202237,0.67968756,22,Breast (including 12 TNBC),170
clonazepam,0.74482095,0.036223985,0.6813529,22,Breast (including 12 TNBC),171
lanatoside-c,0.7481406,0.036272474,0.68465877,22,Breast (including 12 TNBC),172
harringtonine,0.7482229,0.036285594,0.6847663,22,Breast (including 12 TNBC),173
ACY-1215,0.74846625,0.036308993,0.6849928,22,Breast (including 12 TNBC),174
cyclocytidine,0.74998647,0.036293,0.6865513,22,Breast (including 12 TNBC),175
benzethonium,0.75006604,0.03625418,0.6864873,22,Breast (including 12 TNBC),176
GSK2830371,0.75085455,0.03634647,0.6872498,22,Breast (including 12 TNBC),177
CHIR-99021,0.7508562,0.03628538,0.68740964,22,Breast (including 12 TNBC),178
fluvastatin,0.7520266,0.03632577,0.6884305,22,Breast (including 12 TNBC),179
AT-7519,0.7545407,0.03635985,0.690961,22,Breast (including 12 TNBC),180
JK-184,0.7553293,0.03637895,0.691801,22,Breast (including 12 TNBC),181
alisertib,0.7554434,0.036398217,0.6918633,22,Breast (including 12 TNBC),182
VLX600,0.7563734,0.03642541,0.6926974,22,Breast (including 12 TNBC),183
PF-573228,0.757207,0.036419604,0.6936284,22,Breast (including 12 TNBC),184
beta-lapachone,0.7576607,0.03629866,0.6941805,22,Breast (including 12 TNBC),185
FG-4592,0.7582634,0.036438026,0.6946701,22,Breast (including 12 TNBC),186
azalomycin-b,0.75861144,0.036451686,0.69495714,22,Breast (including 12 TNBC),187
P22077,0.75891215,0.036425985,0.695354,22,Breast (including 12 TNBC),188
PHA-848125,0.7630298,0.036536276,0.6993639,22,Breast (including 12 TNBC),189
flubendazole,0.76579183,0.036547154,0.7023065,22,Breast (including 12 TNBC),190
penfluridol,0.76656455,0.036562193,0.7029293,22,Breast (including 12 TNBC),191
AR-12,0.7675472,0.036667872,0.70392543,22,Breast (including 12 TNBC),192
CCT129202,0.7701969,0.036703236,0.7065616,22,Breast (including 12 TNBC),193
brivaracetam,0.7702779,0.036641207,0.706704,22,Breast (including 12 TNBC),194
GSK461364,0.7705333,0.036655515,0.7069322,22,Breast (including 12 TNBC),195
PCI-24781,0.77153975,0.03674025,0.70796204,22,Breast (including 12 TNBC),196
adarotene,0.77193034,0.036654055,0.70829844,22,Breast (including 12 TNBC),197
PI3K-IN-2,0.77265,0.036752827,0.7088736,22,Breast (including 12 TNBC),198
TAK-901,0.7737779,0.0367144,0.7102404,22,Breast (including 12 TNBC),199
bardoxolone-methyl,0.77465796,0.03676181,0.7109431,22,Breast (including 12 TNBC),200
ispinesib,0.7748856,0.036802314,0.7112012,22,Breast (including 12 TNBC),201
G-1,0.77523535,0.03666982,0.71159065,22,Breast (including 12 TNBC),202
VE-821,0.77526927,0.0367636,0.7115663,22,Breast (including 12 TNBC),203
PF-03758309,0.77548766,0.036774993,0.7118961,22,Breast (including 12 TNBC),204
TPCA-1,0.77663827,0.036784753,0.7130009,22,Breast (including 12 TNBC),205
WAY-600,0.77684766,0.0368134,0.7131327,22,Breast (including 12 TNBC),206
serdemetan,0.77868253,0.0368,0.7149528,22,Breast (including 12 TNBC),207
alvespimycin,0.7788147,0.036719576,0.71527314,22,Breast (including 12 TNBC),208
KD025,0.7790501,0.036805846,0.71531886,22,Breast (including 12 TNBC),209
OSI-420,0.7798414,0.03686438,0.71609443,22,Breast (including 12 TNBC),210
BX-912,0.78010553,0.036844283,0.7164316,22,Breast (including 12 TNBC),211
cycloheximide,0.78046423,0.03670403,0.71695036,22,Breast (including 12 TNBC),212
PI-828,0.7823769,0.03691564,0.7185693,22,Breast (including 12 TNBC),213
deoxycorticosterone-acetate,0.7825579,0.03686378,0.71883863,22,Breast (including 12 TNBC),214
triclabendazole,0.78323245,0.036938183,0.7193929,22,Breast (including 12 TNBC),215
P5091,0.7841021,0.036943715,0.7203757,22,Breast (including 12 TNBC),216
LGX818,0.7870478,0.036987405,0.72321725,22,Breast (including 12 TNBC),217
aphidicolin,0.78718305,0.037001975,0.72328913,22,Breast (including 12 TNBC),218
voreloxin,0.7879954,0.037013654,0.72426283,22,Breast (including 12 TNBC),219
SB-590885,0.78802484,0.0369226,0.7243426,22,Breast (including 12 TNBC),220
rigosertib,0.78861296,0.0370349,0.72482044,22,Breast (including 12 TNBC),221
mexiletine,0.79049563,0.037008982,0.72665644,22,Breast (including 12 TNBC),222
ZM-447439,0.7921524,0.03710958,0.7282468,22,Breast (including 12 TNBC),223
litronesib,0.7945273,0.037174568,0.7305523,22,Breast (including 12 TNBC),224
CCT137690,0.79514104,0.037142493,0.73116255,22,Breast (including 12 TNBC),225
octenidine,0.79617494,0.037190553,0.7320761,22,Breast (including 12 TNBC),226
ABT-737,0.7961954,0.037159238,0.73219955,22,Breast (including 12 TNBC),227
metaraminol,0.7981012,0.037190177,0.7340676,22,Breast (including 12 TNBC),228
phenylmercuric-acetate,0.79864347,0.037224222,0.73456687,22,Breast (including 12 TNBC),229
FK-866,0.7988661,0.03721656,0.7348912,22,Breast (including 12 TNBC),230
pardoprunox,0.8000862,0.037226096,0.73605686,22,Breast (including 12 TNBC),231
volasertib,0.8030538,0.037316624,0.738976,22,Breast (including 12 TNBC),232
CGP-54626,0.8036131,0.037252672,0.7395682,22,Breast (including 12 TNBC),233
bisindolylmaleimide-ix,0.8040863,0.037338637,0.7398322,22,Breast (including 12 TNBC),234
GW-583340,0.8041515,0.037322912,0.73991495,22,Breast (including 12 TNBC),235
tanespimycin,0.8051248,0.03720204,0.7410736,22,Breast (including 12 TNBC),236
cytochalasin-b,0.8053617,0.037351523,0.7411636,22,Breast (including 12 TNBC),237
LY303511,0.80586,0.03736908,0.7416621,22,Breast (including 12 TNBC),238
cobimetinib,0.8083296,0.037451193,0.74393445,22,Breast (including 12 TNBC),239
buparlisib,0.81010073,0.03745522,0.7456751,22,Breast (including 12 TNBC),240
GW-3965,0.81032866,0.0374541,0.74591273,22,Breast (including 12 TNBC),241
obatoclax,0.8105574,0.037452642,0.7461577,22,Breast (including 12 TNBC),242
valnemulin,0.8109633,0.0374982,0.74651533,22,Breast (including 12 TNBC),243
dasatinib,0.811392,0.0374922,0.74694365,22,Breast (including 12 TNBC),244
AZD9668,0.81299376,0.037544996,0.74843067,22,Breast (including 12 TNBC),245
mebendazole,0.8131874,0.03743957,0.7489844,22,Breast (including 12 TNBC),246
BIBR-1532,0.81389326,0.03753641,0.7493391,22,Breast (including 12 TNBC),247
filanesib,0.81422085,0.03754051,0.7497178,22,Breast (including 12 TNBC),248
MK-0773,0.8143044,0.03750425,0.7498897,22,Breast (including 12 TNBC),249
