drug,mean_predicted_auc,std_predicted_auc,min_predicted_auc,n_cell_lines,subtype,rank
sparfloxacin,0.9663028,0.039702006,0.8954978,22,Breast (including 12 TNBC),669
evacetrapib,0.96691114,0.039728045,0.89647865,22,Breast (including 12 TNBC),670
ENMD-2076,0.96737427,0.039759867,0.8966288,22,Breast (including 12 TNBC),671
VE-822,0.96741885,0.03976849,0.89680535,22,Breast (including 12 TNBC),672
doxycycline,0.9679689,0.03978488,0.89744836,22,Breast (including 12 TNBC),673
endo-IWR-1,0.9679979,0.03976486,0.8973358,22,Breast (including 12 TNBC),674
WZ8040,0.96825033,0.039720833,0.89730877,22,Breast (including 12 TNBC),675
sunitinib,0.96826917,0.039778817,0.8976533,22,Breast (including 12 TNBC),676
TG100-115,0.968426,0.03974757,0.8976554,22,Breast (including 12 TNBC),677
brequinar,0.96854764,0.039772466,0.89791816,22,Breast (including 12 TNBC),678
dacarbazine,0.9685942,0.03975666,0.8978513,22,Breast (including 12 TNBC),679
novobiocin,0.968604,0.039797764,0.8978266,22,Breast (including 12 TNBC),680
PLX-4720,0.9686501,0.039783463,0.89800733,22,Breast (including 12 TNBC),681
oxazepam,0.96873474,0.03978017,0.89836794,22,Breast (including 12 TNBC),682
AZD3463,0.96891534,0.039774843,0.89835066,22,Breast (including 12 TNBC),683
sodium-stibogluconate,0.9691198,0.03971735,0.8979656,22,Breast (including 12 TNBC),684
erlotinib,0.96949196,0.03978857,0.8988804,22,Breast (including 12 TNBC),685
trans-4-Hydroxycrotonic-acid,0.9695734,0.039796263,0.8988322,22,Breast (including 12 TNBC),686
lenalidomide,0.9699558,0.039781265,0.89934295,22,Breast (including 12 TNBC),687
TG-100572,0.97007024,0.039779708,0.89929354,22,Breast (including 12 TNBC),688
AM-251,0.97036594,0.039797872,0.89994067,22,Breast (including 12 TNBC),689
satraplatin,0.970577,0.03980808,0.89979964,22,Breast (including 12 TNBC),690
levonorgestrel,0.9713882,0.039804935,0.9007551,22,Breast (including 12 TNBC),691
sulfanilamide,0.9716202,0.039805125,0.90106666,22,Breast (including 12 TNBC),692
AVL-292,0.97197014,0.039808013,0.90130836,22,Breast (including 12 TNBC),693
spermine,0.97211075,0.03979752,0.90150964,22,Breast (including 12 TNBC),694
OTS167,0.9728604,0.039769925,0.9020774,22,Breast (including 12 TNBC),695
AZ960,0.9733883,0.0398011,0.9026999,22,Breast (including 12 TNBC),696
YM-201636,0.9742025,0.03979995,0.9031029,22,Breast (including 12 TNBC),697
eltrombopag,0.9750952,0.03982652,0.9044808,22,Breast (including 12 TNBC),698
omeprazole,0.9757483,0.03982793,0.90520775,22,Breast (including 12 TNBC),699
D-Serine,0.9757834,0.039816312,0.905081,22,Breast (including 12 TNBC),700
BTS-54505,0.9759068,0.03983001,0.90515614,22,Breast (including 12 TNBC),701
methacycline,0.9764685,0.03983941,0.9055951,22,Breast (including 12 TNBC),702
PFK-015,0.9765072,0.039818924,0.90581435,22,Breast (including 12 TNBC),703
PD-407824,0.9765195,0.03981406,0.90586317,22,Breast (including 12 TNBC),704
fludroxycortide,0.9765902,0.03982396,0.90607053,22,Breast (including 12 TNBC),705
fludarabine,0.9767691,0.039783828,0.905755,22,Breast (including 12 TNBC),706
CGP-52411,0.9769245,0.039829988,0.90630287,22,Breast (including 12 TNBC),707
elacridar,0.9772871,0.039835602,0.90663415,22,Breast (including 12 TNBC),708
SGI-1776,0.9773218,0.039832626,0.90663093,22,Breast (including 12 TNBC),709
epinephrine,0.9773414,0.039832514,0.90671545,22,Breast (including 12 TNBC),710
tasisulam,0.9774248,0.039847974,0.90667635,22,Breast (including 12 TNBC),711
PP-1,0.97774297,0.039842892,0.9070526,22,Breast (including 12 TNBC),712
TG-100713,0.97888964,0.03984184,0.9080417,22,Breast (including 12 TNBC),713
AS-1949490,0.9789992,0.039848696,0.90834236,22,Breast (including 12 TNBC),714
nimorazole,0.9797783,0.03986109,0.90893656,22,Breast (including 12 TNBC),715
cimetidine,0.97989184,0.039846662,0.9093719,22,Breast (including 12 TNBC),716
terfenadine,0.9806796,0.039849102,0.90994865,22,Breast (including 12 TNBC),717
ercalcitriol,0.9808037,0.039849248,0.91010517,22,Breast (including 12 TNBC),718
AR-42,0.9809967,0.039818227,0.91006607,22,Breast (including 12 TNBC),719
RI-1,0.9810433,0.039843407,0.9103125,22,Breast (including 12 TNBC),720
MK-5108,0.9812979,0.039837357,0.9105279,22,Breast (including 12 TNBC),721
ABT-702,0.9815616,0.03983349,0.91097575,22,Breast (including 12 TNBC),722
brigatinib,0.9820547,0.03986216,0.91129994,22,Breast (including 12 TNBC),723
alectinib,0.9822222,0.03985424,0.9114825,22,Breast (including 12 TNBC),724
EMD-53998,0.9828703,0.03985279,0.91221803,22,Breast (including 12 TNBC),725
LB42708,0.98293185,0.0398644,0.9121357,22,Breast (including 12 TNBC),726
beclomethasone-dipropionate,0.9833719,0.039854743,0.91276515,22,Breast (including 12 TNBC),727
levocetirizine,0.98341405,0.03987132,0.91274995,22,Breast (including 12 TNBC),728
rifampin,0.9843659,0.03987325,0.9137194,22,Breast (including 12 TNBC),729
LE-135,0.9850008,0.039873257,0.9143124,22,Breast (including 12 TNBC),730
carboxyamidotriazole,0.9850824,0.039867934,0.91434747,22,Breast (including 12 TNBC),731
ebastine,0.9851191,0.0398776,0.91444933,22,Breast (including 12 TNBC),732
pilaralisib,0.9855208,0.039889015,0.9146414,22,Breast (including 12 TNBC),733
LY2109761,0.98563653,0.03987281,0.9148007,22,Breast (including 12 TNBC),734
penicillamine-(D),0.9862201,0.039896302,0.9153055,22,Breast (including 12 TNBC),735
paricalcitol,0.9863357,0.039881647,0.915677,22,Breast (including 12 TNBC),736
GDC-0349,0.98656714,0.03986757,0.91572505,22,Breast (including 12 TNBC),737
PF-04691502,0.9866068,0.039871797,0.9157296,22,Breast (including 12 TNBC),738
acetophenazine,0.986619,0.039883755,0.91591436,22,Breast (including 12 TNBC),739
tipranavir,0.9867003,0.039896853,0.91576153,22,Breast (including 12 TNBC),740
rheochrysidin,0.98681563,0.039867092,0.9159741,22,Breast (including 12 TNBC),741
cefditoren-pivoxil,0.9868988,0.039899457,0.91599697,22,Breast (including 12 TNBC),742
Ro-4987655,0.9871666,0.039861817,0.9162927,22,Breast (including 12 TNBC),743
TAK-733,0.9873503,0.039872997,0.916555,22,Breast (including 12 TNBC),744
SR-57227A,0.9875233,0.039881893,0.9171367,22,Breast (including 12 TNBC),745
Y-320,0.98760706,0.039891936,0.91694134,22,Breast (including 12 TNBC),746
trimebutine,0.9878374,0.03988623,0.91703695,22,Breast (including 12 TNBC),747
tazemetostat,0.9884745,0.039882477,0.9176527,22,Breast (including 12 TNBC),748
efonidipine-monoethanolate,0.98876554,0.039894212,0.9178966,22,Breast (including 12 TNBC),749
BAY-87-2243,0.9889797,0.03989446,0.9182295,22,Breast (including 12 TNBC),750
AZD2858,0.9890489,0.039887533,0.91830367,22,Breast (including 12 TNBC),751
GTP-14564,0.98986346,0.039898425,0.9190708,22,Breast (including 12 TNBC),752
atenolol-(+/-),0.99034315,0.039895702,0.9195414,22,Breast (including 12 TNBC),753
dichloroacetate,0.9907433,0.039896995,0.91996795,22,Breast (including 12 TNBC),754
WP1130,0.99144673,0.03989865,0.9203618,22,Breast (including 12 TNBC),755
melphalan,0.9916459,0.039919853,0.9207203,22,Breast (including 12 TNBC),756
XL-647,0.99225026,0.039891914,0.9211604,22,Breast (including 12 TNBC),757
PAC-1,0.992296,0.0398795,0.92127186,22,Breast (including 12 TNBC),758
SR-27897,0.9923723,0.039917123,0.92150664,22,Breast (including 12 TNBC),759
cromakalim,0.99241346,0.039909028,0.92172617,22,Breast (including 12 TNBC),760
"MNS-(3,4-Methylenedioxy-nitrostyrene)",0.99272656,0.039908376,0.9218879,22,Breast (including 12 TNBC),761
PETCM,0.9934414,0.039912418,0.9226441,22,Breast (including 12 TNBC),762
PD-153035,0.99373555,0.03992004,0.92281497,22,Breast (including 12 TNBC),763
3-amino-benzamide,0.99392986,0.03989297,0.92291373,22,Breast (including 12 TNBC),764
mechlorethamine,0.9946121,0.039938767,0.9236503,22,Breast (including 12 TNBC),765
GDC-0879,0.99535376,0.03992669,0.9244708,22,Breast (including 12 TNBC),766
phenylbutazone,0.99544984,0.039921697,0.9246842,22,Breast (including 12 TNBC),767
fludarabine-phosphate,0.995834,0.039915565,0.9248592,22,Breast (including 12 TNBC),768
etoposide-phosphate,0.9961834,0.039898,0.9250179,22,Breast (including 12 TNBC),769
SGI-1027,0.9967537,0.039931633,0.92581433,22,Breast (including 12 TNBC),770
dihydromyricetin,0.9970007,0.039955717,0.92598337,22,Breast (including 12 TNBC),771
GSK2126458,0.99700683,0.039930783,0.92604905,22,Breast (including 12 TNBC),772
GSK-3-inhibitor-IX,0.9971939,0.039930664,0.9262918,22,Breast (including 12 TNBC),773
ZK811752,0.9975422,0.039946124,0.9267593,22,Breast (including 12 TNBC),774
CGS-20625,0.9975788,0.03993452,0.92694587,22,Breast (including 12 TNBC),775
sulfabenzamide,0.99772817,0.0399623,0.9266498,22,Breast (including 12 TNBC),776
MK-2461,0.9982811,0.03994258,0.9273754,22,Breast (including 12 TNBC),777
PF-04217903,0.99847585,0.039930448,0.9274814,22,Breast (including 12 TNBC),778
mifepristone,0.99882835,0.03995094,0.9279249,22,Breast (including 12 TNBC),779
bucladesine,0.99918824,0.039934464,0.9281783,22,Breast (including 12 TNBC),780
sevoflurane,0.99947757,0.039944146,0.928783,22,Breast (including 12 TNBC),781
ibutilide,1.0006032,0.039943665,0.93002826,22,Breast (including 12 TNBC),782
midodrine,1.0008011,0.03995817,0.9299294,22,Breast (including 12 TNBC),783
tyrphostin-AG-1478,1.0009037,0.039945893,0.92990434,22,Breast (including 12 TNBC),784
florfenicol,1.0010921,0.039973512,0.93003964,22,Breast (including 12 TNBC),785
SU014813,1.0013049,0.039964672,0.93033785,22,Breast (including 12 TNBC),786
JNJ-7706621,1.0015446,0.03991899,0.93021506,22,Breast (including 12 TNBC),787
SDZ-WAG-994,1.0016173,0.039957725,0.9306913,22,Breast (including 12 TNBC),788
1-phenylbiguanide,1.0017396,0.03994627,0.93128526,22,Breast (including 12 TNBC),789
GW-441756,1.0021493,0.039956927,0.931315,22,Breast (including 12 TNBC),790
BIIB021,1.002357,0.03992017,0.931132,22,Breast (including 12 TNBC),791
istradefylline,1.0023955,0.03996158,0.931505,22,Breast (including 12 TNBC),792
aripiprazole,1.0027312,0.039965328,0.93190163,22,Breast (including 12 TNBC),793
MPI-0479605,1.0029387,0.039925605,0.93178004,22,Breast (including 12 TNBC),794
levobunolol,1.0037671,0.03996725,0.9329894,22,Breast (including 12 TNBC),795
dienogest,1.0040549,0.039975725,0.9331214,22,Breast (including 12 TNBC),796
voxtalisib,1.0041479,0.039963525,0.93307024,22,Breast (including 12 TNBC),797
tepoxalin,1.0042439,0.039972533,0.9334368,22,Breast (including 12 TNBC),798
ecamsule-triethanolamine,1.004284,0.03999417,0.93308634,22,Breast (including 12 TNBC),799
captamine,1.0043479,0.03999403,0.93320745,22,Breast (including 12 TNBC),800
SCH-58261,1.0048063,0.039975867,0.9338301,22,Breast (including 12 TNBC),801
ranitidine,1.005608,0.039971843,0.9347941,22,Breast (including 12 TNBC),802
PF-04136309,1.0060166,0.039997004,0.9348721,22,Breast (including 12 TNBC),803
cabozantinib,1.0064843,0.03998815,0.9354645,22,Breast (including 12 TNBC),804
SNX-2112,1.0069864,0.04000205,0.9357435,22,Breast (including 12 TNBC),805
zolantidine,1.0074697,0.039998386,0.93629533,22,Breast (including 12 TNBC),806
FLI-06,1.0074872,0.039999247,0.9362137,22,Breast (including 12 TNBC),807
1-azakenpaullone,1.0076652,0.039972395,0.93663794,22,Breast (including 12 TNBC),808
nilotinib,1.0080173,0.039987892,0.9368874,22,Breast (including 12 TNBC),809
indiplon,1.0088817,0.03999361,0.9379564,22,Breast (including 12 TNBC),810
ginkgolide-a,1.0093448,0.03999652,0.93817496,22,Breast (including 12 TNBC),811
busulfan,1.0093488,0.040018402,0.9380251,22,Breast (including 12 TNBC),812
vidarabine,1.0095528,0.039994407,0.9382872,22,Breast (including 12 TNBC),813
baicalin,1.010365,0.039991416,0.9395606,22,Breast (including 12 TNBC),814
chlorogenic-acid,1.0113716,0.03999826,0.94040924,22,Breast (including 12 TNBC),815
PSB-1115,1.0114273,0.040002476,0.9402377,22,Breast (including 12 TNBC),816
SB-216641,1.0122498,0.040006362,0.9413548,22,Breast (including 12 TNBC),817
butamben,1.0123454,0.040032562,0.9410462,22,Breast (including 12 TNBC),818
ketoconazole,1.0131766,0.04000777,0.9423428,22,Breast (including 12 TNBC),819
TMS,1.0134544,0.04002901,0.94219595,22,Breast (including 12 TNBC),820
talmapimod,1.014342,0.04001236,0.9432992,22,Breast (including 12 TNBC),821
tyrphostin-AG-99,1.0150107,0.04001624,0.9438308,22,Breast (including 12 TNBC),822
AP1903,1.0151547,0.040032756,0.943821,22,Breast (including 12 TNBC),823
atipamezole,1.0160155,0.04004504,0.94466966,22,Breast (including 12 TNBC),824
imiloxan,1.016163,0.0400249,0.94500023,22,Breast (including 12 TNBC),825
CEP-37440,1.016331,0.040022545,0.94529396,22,Breast (including 12 TNBC),826
regorafenib,1.0163352,0.04002261,0.9452657,22,Breast (including 12 TNBC),827
cisplatin,1.0171943,0.04002131,0.9461953,22,Breast (including 12 TNBC),828
ZSTK-474,1.0177249,0.040032614,0.94655037,22,Breast (including 12 TNBC),829
TW-37,1.0177559,0.04002383,0.9466096,22,Breast (including 12 TNBC),830
phlorizin,1.017842,0.040028304,0.9465005,22,Breast (including 12 TNBC),831
AZ-628,1.0179806,0.040029507,0.9467644,22,Breast (including 12 TNBC),832
AZD2461,1.0185357,0.04005284,0.94715935,22,Breast (including 12 TNBC),833
monobenzone,1.0186402,0.04003497,0.9475626,22,Breast (including 12 TNBC),834
cyclosporine,1.018816,0.040035367,0.94763523,22,Breast (including 12 TNBC),835
BNTX,1.0188384,0.040036377,0.94758385,22,Breast (including 12 TNBC),836
AZ20,1.0188787,0.040035393,0.94757074,22,Breast (including 12 TNBC),837
chlorambucil,1.0195774,0.040061675,0.948178,22,Breast (including 12 TNBC),838
carboxypyridine-disulfide,1.0195845,0.040064245,0.9481936,22,Breast (including 12 TNBC),839
benzyldimethylhexadecylammonium,1.0196005,0.040058665,0.9481862,22,Breast (including 12 TNBC),840
arcyriaflavin-a,1.0197736,0.04003255,0.9485144,22,Breast (including 12 TNBC),841
UH-232-(+),1.0201845,0.04004318,0.9490738,22,Breast (including 12 TNBC),842
balapiravir,1.0202583,0.040064,0.9489062,22,Breast (including 12 TNBC),843
posaconazole,1.0206985,0.04004977,0.9495499,22,Breast (including 12 TNBC),844
LY2784544,1.0208331,0.040046312,0.94961804,22,Breast (including 12 TNBC),845
fudosteine,1.0209537,0.040074036,0.9495078,22,Breast (including 12 TNBC),846
KI-8751,1.0210459,0.0400483,0.94976,22,Breast (including 12 TNBC),847
taltirelin,1.0217086,0.04005393,0.9505728,22,Breast (including 12 TNBC),848
equol,1.0220056,0.040049013,0.95093995,22,Breast (including 12 TNBC),849
ipsapirone,1.023457,0.040052157,0.95238453,22,Breast (including 12 TNBC),850
suxibuzone,1.0235019,0.04007937,0.95208615,22,Breast (including 12 TNBC),851
WAY-170523,1.0240543,0.040050022,0.9527356,22,Breast (including 12 TNBC),852
lidamidine,1.0240624,0.04008409,0.9525645,22,Breast (including 12 TNBC),853
LY2334737,1.0242093,0.040082425,0.95272976,22,Breast (including 12 TNBC),854
CEP-33779,1.0242776,0.040054128,0.95305043,22,Breast (including 12 TNBC),855
gilteritinib,1.0243913,0.040062934,0.9531888,22,Breast (including 12 TNBC),856
azacitidine,1.0247592,0.040059384,0.95347375,22,Breast (including 12 TNBC),857
meglitinide,1.0249721,0.040068958,0.9539332,22,Breast (including 12 TNBC),858
PD-98059,1.026567,0.04006206,0.9552005,22,Breast (including 12 TNBC),859
hydroxyurea,1.026904,0.04006855,0.95528436,22,Breast (including 12 TNBC),860
MTPG,1.0273808,0.040072467,0.9563095,22,Breast (including 12 TNBC),861
ketoprofen,1.0278691,0.040073216,0.9567005,22,Breast (including 12 TNBC),862
latrepirdine,1.0280343,0.04007536,0.9568595,22,Breast (including 12 TNBC),863
SKI-II,1.0285761,0.040077966,0.95740503,22,Breast (including 12 TNBC),864
mesna,1.0301929,0.040111724,0.958666,22,Breast (including 12 TNBC),865
aztreonam,1.0304025,0.040117785,0.9588451,22,Breast (including 12 TNBC),866
secnidazole,1.0305941,0.040114727,0.9590442,22,Breast (including 12 TNBC),867
apatinib,1.0306935,0.04008781,0.95917624,22,Breast (including 12 TNBC),868
JNJ-16259685,1.0308276,0.040088516,0.9595533,22,Breast (including 12 TNBC),869
CGS-15943,1.0310017,0.04009207,0.9596674,22,Breast (including 12 TNBC),870
BIX-01294,1.0311245,0.040083304,0.95965475,22,Breast (including 12 TNBC),871
tiotidine,1.0312228,0.040088695,0.96007204,22,Breast (including 12 TNBC),872
VTP-27999,1.0312436,0.040095814,0.9599177,22,Breast (including 12 TNBC),873
cilostamide,1.0313311,0.040089633,0.9597743,22,Breast (including 12 TNBC),874
enocitabine,1.0313783,0.040080544,0.95991725,22,Breast (including 12 TNBC),875
chlorquinaldol,1.031419,0.04011628,0.95989126,22,Breast (including 12 TNBC),876
lorlatinib,1.0315129,0.04009279,0.9602759,22,Breast (including 12 TNBC),877
SB-200646,1.0315704,0.040084396,0.96014124,22,Breast (including 12 TNBC),878
sorafenib,1.0319492,0.040095598,0.96058893,22,Breast (including 12 TNBC),879
artemisinin,1.0320486,0.04009813,0.9609102,22,Breast (including 12 TNBC),880
cidofovir,1.0321336,0.04012548,0.9605505,22,Breast (including 12 TNBC),881
idoxuridine,1.0327712,0.040128205,0.96117705,22,Breast (including 12 TNBC),882
RS-67506,1.0328817,0.040095255,0.9617724,22,Breast (including 12 TNBC),883
3-deazaneplanocin-A,1.033475,0.04009452,0.96219295,22,Breast (including 12 TNBC),884
paliperidone,1.0335838,0.040105417,0.9622793,22,Breast (including 12 TNBC),885
chlorpropamide,1.0339187,0.04009835,0.9628113,22,Breast (including 12 TNBC),886
RITA,1.0339779,0.04009846,0.9625245,22,Breast (including 12 TNBC),887
CNX-774,1.0341681,0.04011152,0.9627902,22,Breast (including 12 TNBC),888
GDC-0941,1.0346602,0.040102463,0.96321446,22,Breast (including 12 TNBC),889
JZL-184,1.0346767,0.040102903,0.96348834,22,Breast (including 12 TNBC),890
raclopride,1.0349323,0.040109772,0.9636504,22,Breast (including 12 TNBC),891
ajmaline,1.0352707,0.040106323,0.9640296,22,Breast (including 12 TNBC),892
TG-101209,1.0354122,0.04011162,0.9640526,22,Breast (including 12 TNBC),893
trapidil,1.0354656,0.040116265,0.9641139,22,Breast (including 12 TNBC),894
prazosin,1.0356772,0.040107954,0.96442753,22,Breast (including 12 TNBC),895
P276-00,1.0357648,0.040102564,0.9641435,22,Breast (including 12 TNBC),896
olaparib,1.0365096,0.040104218,0.96518296,22,Breast (including 12 TNBC),897
maxacalcitol,1.0365372,0.04011769,0.9652031,22,Breast (including 12 TNBC),898
N-acetylmannosamine,1.0367923,0.040089488,0.96584505,22,Breast (including 12 TNBC),899
azathioprine,1.0368237,0.040109325,0.9654712,22,Breast (including 12 TNBC),900
tofogliflozin,1.0368917,0.040116776,0.965549,22,Breast (including 12 TNBC),901
CD-437,1.0369732,0.04011639,0.9655618,22,Breast (including 12 TNBC),902
rabeprazole,1.037222,0.04010995,0.96605355,22,Breast (including 12 TNBC),903
piperazine,1.0377446,0.040115923,0.9664938,22,Breast (including 12 TNBC),904
CID-5458317,1.037999,0.040118285,0.96643,22,Breast (including 12 TNBC),905
zaldaride,1.0382441,0.04011275,0.9666629,22,Breast (including 12 TNBC),906
beta-naphthol,1.0384138,0.040139563,0.96677285,22,Breast (including 12 TNBC),907
bosutinib,1.0387462,0.040123098,0.96737415,22,Breast (including 12 TNBC),908
oleanolic-acid,1.0390117,0.04010896,0.9678745,22,Breast (including 12 TNBC),909
aspirin,1.0393053,0.04012268,0.9679759,22,Breast (including 12 TNBC),910
RU-58841,1.0396857,0.04013143,0.96820223,22,Breast (including 12 TNBC),911
NSC-23766,1.0399703,0.04014705,0.9682751,22,Breast (including 12 TNBC),912
GZD824,1.0399917,0.04012346,0.968494,22,Breast (including 12 TNBC),913
GSK256066,1.0405082,0.04012312,0.96904784,22,Breast (including 12 TNBC),914
palbociclib,1.0415492,0.040130347,0.9700421,22,Breast (including 12 TNBC),915
roquinimex,1.0419527,0.040156394,0.9701893,22,Breast (including 12 TNBC),916
GSK1070916,1.0422549,0.040134892,0.9707803,22,Breast (including 12 TNBC),917
dofetilide,1.0423335,0.04013634,0.97089666,22,Breast (including 12 TNBC),918
ingenol-mebutate,1.0423476,0.040142097,0.97078973,22,Breast (including 12 TNBC),919
DCEBIO,1.0423781,0.04013817,0.97086555,22,Breast (including 12 TNBC),920
ribitol,1.042587,0.040160485,0.970782,22,Breast (including 12 TNBC),921
PF-3845,1.042881,0.040128365,0.971523,22,Breast (including 12 TNBC),922
SMI-4a,1.0428863,0.040136516,0.97142214,22,Breast (including 12 TNBC),923
isofloxythepin,1.0430641,0.04015966,0.9712831,22,Breast (including 12 TNBC),924
TAME,1.0437983,0.040156886,0.9720709,22,Breast (including 12 TNBC),925
oleoylethanolamide,1.0440476,0.04014463,0.9724882,22,Breast (including 12 TNBC),926
dabrafenib,1.0442907,0.040142722,0.97280246,22,Breast (including 12 TNBC),927
IKK-16,1.0443383,0.04014322,0.9727558,22,Breast (including 12 TNBC),928
temocapril,1.0450581,0.040142443,0.97357374,22,Breast (including 12 TNBC),929
RS-17053,1.045123,0.040142696,0.9736102,22,Breast (including 12 TNBC),930
FPH1-(BRD-6125),1.0453227,0.04016278,0.97338676,22,Breast (including 12 TNBC),931
trequinsin,1.0454749,0.04013874,0.97404,22,Breast (including 12 TNBC),932
GW-501516,1.0456437,0.040140547,0.9741822,22,Breast (including 12 TNBC),933
YM-976,1.0458913,0.04014593,0.97435504,22,Breast (including 12 TNBC),934
PKI-179,1.0465049,0.040149126,0.9748768,22,Breast (including 12 TNBC),935
chlorpyrifos,1.0465298,0.040144403,0.9751062,22,Breast (including 12 TNBC),936
eprinomectin,1.0467268,0.040174294,0.97486186,22,Breast (including 12 TNBC),937
NVP-AEW541,1.0476124,0.04015899,0.97590476,22,Breast (including 12 TNBC),938
betamethasone-dipropionate,1.0493064,0.040177878,0.9774347,22,Breast (including 12 TNBC),939
PRT062070,1.0502895,0.040158786,0.9786971,22,Breast (including 12 TNBC),940
GS-39783,1.0503273,0.040155113,0.9788247,22,Breast (including 12 TNBC),941
RS-504393,1.0504035,0.040159583,0.9788519,22,Breast (including 12 TNBC),942
acipimox,1.0504749,0.040147193,0.97911066,22,Breast (including 12 TNBC),943
eptifibatide,1.0504798,0.040159628,0.9789198,22,Breast (including 12 TNBC),944
orotic-acid,1.0514165,0.04017493,0.9797203,22,Breast (including 12 TNBC),945
BVD-523,1.0518084,0.040183477,0.9799301,22,Breast (including 12 TNBC),946
dicycloverine,1.0519943,0.040168498,0.9802583,22,Breast (including 12 TNBC),947
3'-fluorobenzylspiperone,1.0523914,0.04016077,0.9808525,22,Breast (including 12 TNBC),948
VU0238429,1.052889,0.040177677,0.9809953,22,Breast (including 12 TNBC),949
fexinidazole,1.0532092,0.040194422,0.9812038,22,Breast (including 12 TNBC),950
GSK1838705A,1.0533704,0.040168498,0.98164123,22,Breast (including 12 TNBC),951
flumethasone-pivalate,1.054401,0.040162876,0.98287857,22,Breast (including 12 TNBC),952
cinalukast,1.0544817,0.040169712,0.98283213,22,Breast (including 12 TNBC),953
triamterene,1.0546936,0.040168468,0.9830777,22,Breast (including 12 TNBC),954
dorzolamide,1.0547044,0.040160034,0.9833061,22,Breast (including 12 TNBC),955
CCT128930,1.0555264,0.04018236,0.9835629,22,Breast (including 12 TNBC),956
cobicistat,1.0561966,0.040171128,0.9846289,22,Breast (including 12 TNBC),957
flumethasone,1.0562518,0.040172737,0.9846528,22,Breast (including 12 TNBC),958
ZLN005,1.0565969,0.040199287,0.9845813,22,Breast (including 12 TNBC),959
MK-1775,1.0577985,0.040176764,0.9860611,22,Breast (including 12 TNBC),960
hypericin,1.0581172,0.04020966,0.9860474,22,Breast (including 12 TNBC),961
VX-702,1.0587658,0.04018431,0.9869869,22,Breast (including 12 TNBC),962
SU3327,1.0587685,0.040187106,0.98687696,22,Breast (including 12 TNBC),963
uracil,1.0599358,0.040193643,0.98796874,22,Breast (including 12 TNBC),964
vincamine,1.0599778,0.04018978,0.9881967,22,Breast (including 12 TNBC),965
fenretinide,1.0601717,0.040186066,0.98837775,22,Breast (including 12 TNBC),966
PHA-767491,1.0606462,0.040192023,0.988774,22,Breast (including 12 TNBC),967
BGT226,1.0608182,0.04019486,0.9889263,22,Breast (including 12 TNBC),968
clindamycin-phosphate,1.0609598,0.040216606,0.9888349,22,Breast (including 12 TNBC),969
SB-366791,1.0610877,0.0401852,0.9893718,22,Breast (including 12 TNBC),970
ciclesonide,1.0610989,0.040187836,0.98939437,22,Breast (including 12 TNBC),971
AZD6482,1.0612637,0.040193528,0.98941445,22,Breast (including 12 TNBC),972
INC-280,1.0614413,0.040198356,0.98945373,22,Breast (including 12 TNBC),973
lacitol,1.0621166,0.040219773,0.98999256,22,Breast (including 12 TNBC),974
piperine,1.062118,0.04019278,0.99035066,22,Breast (including 12 TNBC),975
pazopanib,1.062769,0.04019464,0.99097115,22,Breast (including 12 TNBC),976
tacrolimus,1.0632758,0.040200904,0.991293,22,Breast (including 12 TNBC),977
12-O-tetradecanoylphorbol-13-acetate,1.063549,0.04019131,0.99182326,22,Breast (including 12 TNBC),978
A61603,1.0638944,0.040198576,0.99205166,22,Breast (including 12 TNBC),979
ziprasidone,1.065033,0.040204104,0.99315065,22,Breast (including 12 TNBC),980
bendamustine,1.0661169,0.040229555,0.9939125,22,Breast (including 12 TNBC),981
bosentan,1.0661778,0.040215876,0.99421746,22,Breast (including 12 TNBC),982
ICI-162846,1.0667759,0.04020262,0.9950208,22,Breast (including 12 TNBC),983
KD-023,1.0671521,0.04023182,0.9948626,22,Breast (including 12 TNBC),984
cyclophosphamide,1.0678656,0.040209938,0.99605036,22,Breast (including 12 TNBC),985
crizotinib-(S),1.0688609,0.04020812,0.99704146,22,Breast (including 12 TNBC),986
desonide,1.0691086,0.0402152,0.9972586,22,Breast (including 12 TNBC),987
acetylsalicylsalicylic-acid,1.0697579,0.040235605,0.99745846,22,Breast (including 12 TNBC),988
ZK-93423,1.0698096,0.040211055,0.99800843,22,Breast (including 12 TNBC),989
imidapril,1.0698413,0.040217724,0.9979237,22,Breast (including 12 TNBC),990
colfosceril-palmitate,1.0700963,0.04023528,0.9978517,22,Breast (including 12 TNBC),991
lanoconazole,1.0705746,0.040234417,0.9982602,22,Breast (including 12 TNBC),992
SAR131675,1.0705975,0.040220216,0.9986882,22,Breast (including 12 TNBC),993
primaquine,1.0707264,0.040224183,0.99866253,22,Breast (including 12 TNBC),994
S26948,1.0710626,0.040223256,0.9990643,22,Breast (including 12 TNBC),995
terbutaline,1.0714403,0.04022262,0.99942213,22,Breast (including 12 TNBC),996
avanafil,1.0714675,0.040216036,0.9995937,22,Breast (including 12 TNBC),997
PF-04457845,1.0715504,0.040220924,0.99966854,22,Breast (including 12 TNBC),998
CGM097,1.0718968,0.040223334,0.99984926,22,Breast (including 12 TNBC),999
ACDPP,1.0721182,0.040221773,1.0001943,22,Breast (including 12 TNBC),1000
ubenimex,1.0722867,0.040220883,1.0003481,22,Breast (including 12 TNBC),1001
KY02111,1.07231,0.040227324,1.0001884,22,Breast (including 12 TNBC),1002
