drug,n_samples,pearson_r,spearman_r,rmse
arry-334543,86,0.5802870580977362,0.5688754766054874,0.0718932738136018
artemisinin,90,0.0907544626206858,0.14649545211342965,0.18497307048113854
artesunate,85,0.21851853949281821,0.19185069376587843,0.22606077426947552
as-1949490,86,0.32323726784046775,0.2666823906788056,0.2080418111287969
as-703026,88,0.6356546175023997,0.5910154788145233,0.18454651254800378
aspirin,85,0.12909079241276328,0.0761579050224741,0.21051483079965197
ast-1306,58,0.09114825871053778,0.2500538312467317,0.13622396771856288
astemizole,85,0.004003546767205744,0.00799296462771155,0.19414851251254903
asymmetrical-dimethylarginine,90,0.20501586987862422,0.15368975593694695,0.1522348564899054
at-7519,91,0.34212024100497346,0.269090185361623,0.09506495697514014
at-9283,76,0.4361097286998175,0.347177033492823,0.19525879020711645
at13387,87,0.29912254784807024,0.2917935561305133,0.15109790628700304
at7867,65,0.12128510068426533,0.08199300699300699,0.24610720989572504
atenolol-(+/-),83,0.10768929895666829,0.0869400948742706,0.15758179417648857
atenolol-(-),75,0.1251283173568695,0.06876244665718349,0.2975134201717371
atipamezole,89,0.07022736539570626,0.015151515151515154,0.19492787028096548
atiprimod,86,0.3038703912324492,0.28003216836364503,0.09702161402503504
atorvastatin,87,0.41071392137062657,0.439035503389954,0.22029009121471096
aurora-a-inhibitor-i,90,0.1768731429093395,0.13650301067329948,0.09344928085132312
av-412,91,0.38163974747209656,0.4015766841853799,0.06709567193958307
avanafil,84,0.009505201446127862,0.0023286423002936117,0.1486789799061515
avl-292,86,0.18291242994596385,0.15641246836355338,0.07497291881262856
avn-944,85,0.32426271104606214,0.2940203716546792,0.09878734719358874
axitinib,85,0.2977354425747382,0.1976235271457777,0.08097514686191537
az-628,93,0.5618028366282906,0.598394934262834,0.19476404357014207
az20,92,0.06912386791145408,0.18363824114174748,0.11955414276338668
az3146,88,0.3554678224410763,0.15864182311295838,0.1398188216228138
az960,90,0.2901482365338818,0.29945260731777584,0.12215569800798536
azacitidine,93,-0.027428568130107876,0.019565670871613323,0.16969107257338728
azalomycin-b,92,0.14406812028553062,0.11647118659741379,0.062188087651910855
azathioprine,86,0.06725622416189221,0.12705316288504176,0.23071159359004564
azd1480,80,0.06036640495425165,0.07517580872011252,0.18622853593686414
azd2014,88,0.1718051065670027,0.13406192134362802,0.12072686897748629
azd2461,87,0.06829820511525689,0.009167456440912734,0.22755415360040684
azd2858,87,0.12327224389666575,0.150506670554786,0.19742133929186823
azd3463,91,0.2362834682455759,0.24865424430641825,0.1282443253611836
azd4547,73,0.07203020532096308,0.11526595088238925,0.269394184168828
azd5363,92,0.11017212465466478,0.13801766256184209,0.2286294623940234
azd5438,91,0.027720328105977066,0.06579073100812231,0.09061614777098408
azd6482,94,0.21912096262134528,0.2421919589639851,0.0670016907092188
azd7762,94,0.15427648094321092,0.18498717624534913,0.1002837834357074
azd8055,91,0.10441086428658028,0.13471890428412167,0.0993224441779401
azd8330,93,0.5659840783135651,0.5799737399659812,0.18024253124685474
azd8931,88,0.49929351735225247,0.5453142730578734,0.12084886201430753
