tf,HR,pvalue,coef,n
KCNIP3,2.060595120277562,2.37085919727954e-16,0.7229948344184666,7397
MTF2,1.6678835259317797,2.82479394830253e-16,0.5115554729203566,7397
HDAC4,0.5959029267598217,3.055768122432504e-16,-0.5176774997463471,7397
GTF2I,0.5816639028272662,3.4835034564283493e-16,-0.5418624846113698,7397
FOXP1,0.48860951467496355,4.1927582965017445e-16,-0.7161916470059724,7397
NAB2,1.4641375797738931,4.571123409523808e-16,0.38126638637911364,7397
PRDM2,1.8836697559199052,6.963874139498027e-16,0.6332218719994366,7397
HCFC1,1.4389260623003672,8.843067246816029e-16,0.3638970452789586,7397
GTF2IRD1,0.45945129057056333,1.067977121447215e-15,-0.7777223480924838,7397
HSF4,1.8615419095844645,1.4151261962660171e-15,0.6214051279555058,7397
PHF5A,0.6051565709980404,2.0759507297451904e-15,-0.5022680593948716,7397
HDAC7,1.5058464742803812,4.055506670450863e-15,0.40935518147228056,7397
ELK4,0.6856525318367287,4.129226877687208e-15,-0.3773842929350137,7397
GFI1,0.5736067005421246,4.642817634015138e-15,-0.5558113082061608,7397
ARID3A,1.4347791469584772,6.930685706450484e-15,0.36101093280851004,7397
NCOR2,0.6162373539154355,1.3885790989252119e-14,-0.4841230748655156,7397
E2F5,1.5106253740845554,1.5756295818771578e-14,0.4125237201111977,7397
AR,0.7559376055288896,2.5152764967004908e-14,-0.27979643857778114,7397
UBTF,0.5621147623925608,3.897695645409043e-14,-0.5760492463896703,7397
ESR1,0.7651933276111158,5.6439710846448665e-14,-0.2676267612513441,7397
PITX1,1.9194782664037706,6.48561214049381e-14,0.65205341286467,7397
GRHL3,0.6356830465096415,7.832328981114105e-14,-0.45305519440650194,7397
NPAS2,0.6514668922813435,1.021246327847712e-13,-0.42852870138870885,7397
ARID4A,0.383068819925643,2.0847130725773693e-13,-0.9595406194532453,7397
HTATIP2,0.6051008163598162,2.729619378552255e-13,-0.5023601962227003,7397
SKIL,0.6689200682405003,3.2507789556162754e-13,-0.40209070545328357,7397
FOXG1,1.641555471734792,3.534089939578602e-13,0.4956442507085363,7397
DOT1L,0.5341867521488418,4.4038807139442306e-13,-0.6270097780356484,7397
BMAL1,0.7105042468245398,5.074900916275174e-13,-0.341780354229151,7397
FOXJ1,0.7394633454470715,5.208833079272605e-13,-0.3018305647303774,7397
TP63,0.7312341138848111,1.3246674776778904e-12,-0.3130216052740212,7397
E2F2,1.2749548596867928,1.4338102416632887e-12,0.24291077381642573,7397
FOXF2,0.5759531728170002,1.6241060919235662e-12,-0.5517289187837497,7397
RORC,0.45506667774747217,1.687251272433606e-12,-0.7873113262678442,7397
TFDP1,1.3334731704174116,2.594867636705162e-12,0.2877869447655463,7397
NEUROG2,0.6026308856967301,3.5459677121166825e-12,-0.5064503995390918,7397
BRCA1,0.6561856426358187,5.310194362523083e-12,-0.42131153824978684,7397
KLF8,0.6096782036315459,6.329261601520096e-12,-0.4948239960405927,7397
ZNF148,0.6096081757294733,8.256925769264238e-12,-0.49493886306992213,7397
HOXB3,1.8755607008954385,1.0181602357047496e-11,0.6289076551962496,7397
NFATC3,0.6739866448576632,1.0387103463252814e-11,-0.39454498301738633,7397
FOXF1,0.695585718752963,1.2862642796371474e-11,-0.36300102754519753,7397
OLIG2,1.417481993619332,1.3640333361186897e-11,0.34888205362503577,7397
