drug,p_raw,p_residualized,raw_sig,res_sig
narlaprevir,0.26639277838880787,0.3774434643664273,False,False
dexamethasone-acetate,0.7780256460406672,0.5945383236059586,False,False
tiotidine,0.0027286359695913713,0.9174679580799217,True,False
betamethasone-dipropionate,3.864791144042454e-05,0.22945040039535214,True,False
ciclesonide,0.008424389901185724,0.08608051878774928,True,False
amonafide,0.07842274134705109,0.8020850120260595,False,False
dabrafenib,0.001864562272408859,0.05375807838713268,True,False
masitinib,0.0761351169212569,0.802738457415686,False,False
nadifloxacin,0.00015642759291097918,0.18195823177841156,True,False
pha-793887,0.004071240450561744,0.7462752671839239,True,False
clobutinol,3.2657117563089944e-10,0.0001525900489939562,True,True
cefpiramide,0.36356484825862934,0.9938370142990102,False,False
cyc116,0.0019179610578978709,0.8651017478305962,True,False
s26948,2.0473212246202714e-06,0.002397341313966435,True,True
bms-345541,0.009978811708270632,0.07063549452949584,True,False
minocycline,0.3016295924904667,0.1392320177187127,False,False
sb-657510,0.7258715450046064,0.9800913250018295,False,False
gsk-3-inhibitor-ix,0.9499794645417194,0.6936680117407692,False,False
vu0361737,4.951454855151479e-07,0.016599456162768537,True,True
vs-4718,0.012451819621506169,0.48137247988461407,True,False
chromocarb,0.005166892276412707,0.3134278811138356,True,False
foscarnet,0.858512679483392,0.08469551510239616,False,False
1-azakenpaullone,0.6775949040780126,0.00041945037256982994,False,True
birinapant,0.2664637955201735,0.2022593466923694,False,False
cudc-101,0.04735133477755797,0.054239333867247705,True,False
ly303511,0.37562772881502826,0.5035745900966913,False,False
dehydrocholate-acid,0.00036325551214867215,0.7074639241690834,True,False
clocortolone-pivalate,0.11251219026189761,0.08282973047122623,False,False
ym-976,0.20753857929883582,0.8244198427005903,False,False
iproniazid,0.0013623543506080104,0.9842661082707803,True,False
voxtalisib,0.00027553000258433017,0.01597707310352197,True,True
idoxuridine,0.1676335884367573,0.00013682652625647725,False,True
g-1,0.3870312344351432,1.0354169791469413e-07,False,True
pq-401,0.11414871232097239,0.34817874343215294,False,False
atenolol-(-),0.3611909723696881,0.4396027641221545,False,False
venetoclax,0.15603598462246912,0.21010134558436852,False,False
wz-4002,0.6482474562306211,0.07871573149952671,False,False
nadide,0.009815814823061007,0.004826628432466674,True,True
ly364947,0.0041271833954882944,0.9048437269175822,True,False
camptothecin,0.00047295780290675674,0.4993504200505994,True,False
ziprasidone,0.5305148466924395,0.00019121841254341742,False,True
rg2833,0.32667509785287807,0.4525788510826997,False,False
norgestrel,0.5490543284915819,0.7879573850172334,False,False
everolimus,9.850430981440012e-08,3.174454528213941e-05,True,True
"l-798,106",0.2286291019846252,0.9705208900176998,False,False
ethinyl-estradiol,0.1266571006792608,0.6325906227683715,False,False
mercaptopurine,0.8494200831265835,0.4191497013749481,False,False
sc-144,0.19346269485413892,0.08415676680800392,False,False
terbutaline,0.022709725912174003,0.0011962181295107636,True,True
pd-173074,0.7454007514147822,0.3346249637254001,False,False
bosentan,0.24185741555732934,0.1250200960196201,False,False
bucladesine,0.004919395096456954,0.027890259526492305,True,True
levocarnitine,0.00043290993241306883,0.0006028978466542503,True,True
whi-p154,0.14282429299615568,0.27472526644156925,False,False
fluroxene,0.01479000033951847,0.6961005028084175,True,False
cs-110266,0.07950202744658774,0.05444289856442348,False,False
famotidine,0.21606185633800726,0.22431717658023007,False,False
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,9.643017955841295e-12,2.048013051248614e-05,True,True
cariporide,0.6416345441078711,0.3240858677822198,False,False
nobiletin,0.11171221168522527,0.8179320548838236,False,False
palbociclib,0.0009607075642551218,0.0015980599707270148,True,True
colistin-b-sulfate,0.44320347927256887,0.5196113762858696,False,False
pac-1,0.44431382746771864,0.1584126256814166,False,False
carboplatin,0.7952784368966471,0.16599418755887313,False,False
sb-218795,0.002417906554733965,0.34917963246717254,True,False
meloxicam,0.03898463488672457,0.10337219194366812,True,False
gsk256066,0.0003002386269019345,0.306474644591477,True,False
scs,0.06328969626151126,0.1862496680241879,False,False
balapiravir,0.09232656444677328,0.400897747457004,False,False
costunolide,0.5693056683732081,0.06357749832460854,False,False
pp-2,0.5379227170601926,0.40354120064074095,False,False
isofloxythepin,0.13209984923364895,0.003564151277415244,False,True
doxercalciferol,0.12279843633845744,0.5954762212124929,False,False
colforsin-daproate,0.13871336755150174,0.511129186888523,False,False
tame,5.845607102764056e-05,0.6351419369976852,True,False
dihydromyricetin,0.07610444962606427,0.00042378233718466196,False,True
sodium-glucoheptonate,0.7031160763279318,0.3688096625906262,False,False
olda,0.08209023919402503,0.5716055320308253,False,False
salvinorin-a,0.0015867125035174076,0.34508218647480826,True,False
"hydroxytacrine-maleate-(r,s)",0.0015513284652503142,0.2770881584108046,True,False
artesunate,0.37800768022552345,0.88553206521221,False,False
gamma-aminobutyric-acid,2.764804588163049e-05,0.0065920332751926965,True,True
sulfasalazine,0.001338579154100157,0.030774976469133384,True,True
adl5859,0.4309748850477675,0.5440239672222545,False,False
cx-4945,0.34883968869332216,0.6214314643418262,False,False
octopamine,0.07694069141230331,0.24786245080335526,False,False
zolantidine,4.3523558961648005e-11,4.778123663428078e-05,True,True
lonafarnib,0.002585714228346202,0.7279666918305474,True,False
amg900,0.17119888465855623,0.0010480911311777997,False,True
difluprednate,7.291183921719699e-06,0.7027534945988096,True,False
caffeic-acid-phenethyl-ester,0.1634470308935705,0.9114739749662848,False,False
sulmazole,0.09437212492392259,0.6384697741219624,False,False
amg458,0.4896495235213585,0.30936415990725025,False,False
fexinidazole,0.6275299491296247,0.00963384275972764,False,True
sid-7969543,0.006275995994440417,0.1667758873805773,True,False
astemizole,1.960011033891201e-08,0.09942224571602255,True,False
