drug,HR,pvalue,padj,cohort
cefdinir,1.8366589700271203,0.0031356504494259533,0.053379837650815935,METABRIC
cct128930,0.5067643504459852,0.003324414616283293,0.05593520871816192,METABRIC
cetrimonium,0.18812022789414592,0.0033652430423992546,0.05597134117645657,METABRIC
saracatinib,2.8992720665383467,0.0034564570405604613,0.056229109843366,METABRIC
gsk461364,0.6031039853312299,0.0034797979352319277,0.056229109843366,METABRIC
stf-118804,0.18551206094674996,0.0035097586990065514,0.056229109843366,METABRIC
ecamsule-triethanolamine,0.6188385862664931,0.003536177605906224,0.056229109843366,METABRIC
vidarabine,0.32381675499496615,0.003745252397527218,0.05890630673067265,METABRIC
sirolimus,0.5322083749696515,0.0038102609530562184,0.05928438278572417,METABRIC
carmustine,1.4818822944187695,0.0038948935652529525,0.05995649988213853,METABRIC
mln-8054,0.42089313929146793,0.003976435485337033,0.06024924309994389,METABRIC
dasatinib,1.7214511885239347,0.004002874467801459,0.06024924309994389,METABRIC
amoxicillin,2.0246629507596943,0.004038822792463412,0.06024924309994389,METABRIC
oxonic-acid,0.5417943800913315,0.0041450326241903685,0.06096821372578019,METABRIC
rutin,0.5408868871296968,0.004171287601141838,0.06096821372578019,METABRIC
le-135,0.38257486049492245,0.004277264086112399,0.061411169036534395,METABRIC
tamibarotene,0.25105439633275767,0.004286474134547321,0.061411169036534395,METABRIC
pr-619,0.2746749568789934,0.004347490688378455,0.06167469633415317,METABRIC
afatinib,2.5184897548284235,0.004612411675940458,0.06346329513813914,METABRIC
indiplon,2.197323517927421,0.0046396264963326815,0.06346329513813914,METABRIC
p22077,1.6264405179645265,0.004667558206400171,0.06346329513813914,METABRIC
gsk2110183,0.45329212972936794,0.0047423284229899726,0.06346329513813914,METABRIC
riboflavin,1.7927881782932813,0.004743269155308854,0.06346329513813914,METABRIC
vx-765,2.490103075767943,0.004773052847792441,0.06346329513813914,METABRIC
gsk923295,0.44112464077196817,0.004780579937841856,0.06346329513813914,METABRIC
lasalocid,0.16524303572390708,0.004897996637427603,0.06382095817283084,METABRIC
rheochrysidin,2.1990792437551,0.004935766668677936,0.06382095817283084,METABRIC
vx-702,1.6274539377386614,0.004939839195132726,0.06382095817283084,METABRIC
dabrafenib,0.7032666961076316,0.005054249752258453,0.06472123355325647,METABRIC
sunitinib,0.3390705912615392,0.0051463963907622,0.06532311910028862,METABRIC
tirapazamine,0.5245768781298668,0.005292678744559815,0.06632153017626186,METABRIC
indibulin,0.2464287391780402,0.005316722529679596,0.06632153017626186,METABRIC
tofogliflozin,0.4653769348899346,0.005392049244096654,0.06668628424109281,METABRIC
methocarbamol,2.222716647109301,0.005475346815038525,0.06676317661215517,METABRIC
terconazole,0.59622054082969,0.005490544586625062,0.06676317661215517,METABRIC
ve-822,0.35383210371175966,0.00554479132685937,0.0668609420830459,METABRIC
bw-180c,1.8117877043270776,0.005668770966569745,0.06779100486468116,METABRIC
nadifloxacin,0.6403410711963433,0.005963472549265076,0.0707306949080866,METABRIC
sdz-wag-994,0.5685948955142321,0.006025948251120572,0.07076363650440429,METABRIC
practolol,0.40585599349781465,0.00606405730929242,0.07076363650440429,METABRIC
ramifenazone,0.5638400251761416,0.006199559172395819,0.07153597883846173,METABRIC
bms-626529,0.4850159307496929,0.006229117715028458,0.07153597883846173,METABRIC
mk-8245,1.6554538279172897,0.006279812589641146,0.07155030564732864,METABRIC
bms-690514,2.0745827991528834,0.006394760356666918,0.07229076746950805,METABRIC
tyloxapol,0.6313203061895766,0.006728766267611254,0.07508733748857382,METABRIC
nh125,0.2496967146691007,0.0067467762394303014,0.07508733748857382,METABRIC
