drug,HR,pvalue,padj
rociletinib,8.26247322522956,0.00011310418110489457,0.000667032416426562
diphemanil,0.4939737222908982,0.00011340012055351366,0.000667032416426562
thiomersal,0.16865859029376074,0.0001150796263960826,0.0006741709287252288
poziotinib,1.90312742966718,0.00011680972431372677,0.0006815470608143655
atenolol-(+/-),0.41459826904578895,0.0001201406217946864,0.0006981665852888001
cyclophosphamide,0.44706936750426274,0.00012246313426764755,0.0007088166211411441
cyclovalone,8.25006684174115,0.0001310983754665444,0.0007557743000003575
torasemide,0.5294668975312251,0.00013543049482348275,0.000777650500038014
acetylcysteine,2.183719582762234,0.00013697123646999533,0.0007833888504825426
prednisolone-acetate,0.6470875010213487,0.00014315724317205997,0.0008155453971258692
sb-505124,0.4234016837223897,0.00014791848547164805,0.000839364895990097
dioscin,0.29495174611070824,0.00014918261016785963,0.0008432313941909879
ly3023414,0.16503008632160807,0.00015599146076655465,0.000877328399000721
nadifloxacin,0.6030744767897257,0.00015642759291097859,0.000877328399000721
tosedostat,0.38747908599013303,0.00015778229665793037,0.0008815095878919894
cyproterone-acetate,0.3333741242527278,0.00016016280691424204,0.0008913676215573393
bexarotene,0.20088445852732661,0.00016383599145648015,0.0009083167802204092
bgt226,0.17397841689604784,0.00017359883759711297,0.0009587691526832918
narasin,0.3825007855376196,0.00018298848980319112,0.0010067845807802949
tas-103,0.28924387223349823,0.00018860489655842558,0.001033754868636522
pp-121,0.16176113412662782,0.00019236742637417429,0.0010503987394846423
capecitabine,0.14360296695516864,0.00019339015688553737,0.001052013372230724
bekanamycin,0.5736663685431954,0.00019465614157610948,0.0010549342204517994
ly2608204,3.1358611440700424,0.00019666781479760656,0.0010618594328811071
ccmi,0.5365354449420198,0.00019803967149877486,0.001065291467132815
nvp-auy922,0.40886093999881096,0.00020378376501617307,0.0010921300295496387
lb42708,0.2555248945249001,0.00021110538938390176,0.0011271937211752984
paclitaxel,0.47458994005938926,0.0002146255839745597,0.0011417765441587792
acdpp,0.5615671866592621,0.00023243224148894071,0.0012314941755898127
prednisolone-hemisuccinate,0.7453236992442577,0.0002331924009064331,0.0012314941755898127
acetophenazine,0.451803994789623,0.00024279710489300826,0.0012753326326501828
azodicarbonamide,0.47202561448791813,0.0002442805734562774,0.0012753326326501828
toremifene,0.3842818878487391,0.0002447234748498596,0.0012753326326501828
nvp-bez235,0.41858466163159896,0.00024501898540203927,0.0012753326326501828
azd8931,2.819197752606665,0.00024642868229420343,0.0012780727716118724
imiloxan,2.0069126189058784,0.0002732291130427901,0.0014120090234747045
voxtalisib,0.6107556563387266,0.00027553000258433304,0.0014188324332367612
pepstatin,2.571532675773464,0.0002825070841023336,0.001449601952822967
eprinomectin,1.7836239738951605,0.0002936966976770762,0.0015016930089707748
m-344,0.19766415808899404,0.0002954164222775939,0.0015051674754777407
i-bet-762,3.9767715184542287,0.00029881489836847,0.0015171409050497408
gsk256066,0.5991246065109702,0.0003002386269019329,0.0015190394864583808
azathioprine,0.5728033592162127,0.0003023817473878739,0.0015228018807164144
metronidazole,1.778752753898507,0.0003030870363830873,0.0015228018807164144
ver-49009,0.32471679727960073,0.00031638879269853227,0.0015788510584023587
semaxanib,2.683692615468897,0.00031642488385396267,0.0015788510584023587
rs-67506,0.5122868210871155,0.0003202950878763596,0.001589869391707155
ban-orl-24,1.9030585913818205,0.00032083058906599117,0.001589869391707155
hyodeoxycholic-acid,0.5409944163239753,0.0003307344044074464,0.0016333538675002558
clonazepam,0.2787056777278997,0.0003320201695622127,0.001634126480804496
diazooxonorleucine,0.5110731943493206,0.00034965170473389383,0.0017150712432201503
bromosporine,0.6336791265017866,0.00035513681217767823,0.0017360911054766905
fosbretabulin,0.3636226002006461,0.00035666826776675704,0.001737707015011776
lapatinib,3.3138760580047166,0.00035879154699271616,0.0017421858003304038
tioxolone,0.5400522025977351,0.00036056970621660173,0.0017449644310883702
epothilone-d,0.35775725617394993,0.0003623925268481379,0.0017462814819904548
dehydrocholate-acid,0.6090449287754047,0.00036325551214867096,0.0017462814819904548
triapine,0.41354888131085915,0.0003773675917098318,0.0018081155801461144
pyrimethamine,0.43130602861514816,0.00038484118968654866,0.0018378389487671155
sb-743921,0.3751309781027648,0.0003873621672382444,0.001843792947347828
naftidrofuryl,1.952554808398079,0.00038998057952886316,0.001850170159273
bisindolylmaleimide-ix,0.12887018094426597,0.0004001220409662722,0.0018920803701901825
oxymatrine,0.5201189965974893,0.00040310296348662557,0.0018999673881600885
bisacodyl,0.5084211662217167,0.0004134809194156446,0.00194255483894298
dorzolamide,0.5368983106065878,0.0004148840605611835,0.0019428389502654775
4-iodo-6-phenylpyrimidine,0.45685891222067637,0.00041696687674105774,0.0019442823888855061
napabucasin,0.39738197724873564,0.00041880513415885087,0.0019442823888855061
th-302,0.36058306212912156,0.00041922329324967377,0.0019442823888855061
indiplon,0.4133237668325001,0.0004247501812834038,0.001963621445102509
levocarnitine,0.6159880553479119,0.0004329099324130745,0.0019949702936360473
naftifine,0.4863377366337705,0.0004355622901106961,0.002000821059651356
oleanolic-acid,2.1269125926855272,0.00044436966392371127,0.0020348193154987666
maxacalcitol,1.9221817640686503,0.0004643630513337302,0.002119663518233147
azd8055,0.24158975250814274,0.00046972445752696106,0.0021373939938412346
camptothecin,0.6174301163705815,0.00047295780290675517,0.0021453603160065038
novobiocin,2.0754497118492576,0.000491641418933215,0.002223141041238631
fenofibrate,1.8245451408384885,0.0004973714962377037,0.0022420453428534494
clenbuterol,0.5063283727696162,0.0005275181616370965,0.0023705552170462073
amoxicillin,2.2322440270364665,0.0005328400137921222,0.0023870572754092906
docetaxel,0.498831671778782,0.0005435582320425511,0.002427557906683862
gsk461364,0.573540757823643,0.00055996209746395,0.0024931235539394944
fluvastatin,0.3282395603561899,0.0005868490921390841,0.0026048179028382045
su3327,0.32540090742843975,0.000609087642487907,0.0026952593843425116
pilocarpine,1.5350193850521907,0.0006285682317544084,0.002772982412648259
torcetrapib,0.5760938229926004,0.000636279106586146,0.002798467681550618
dcebio,0.3095474727591943,0.0006475960661149205,0.002839610629297848
azacitidine,0.5387604358488466,0.0006631602555219718,0.0028990721744419734
asymmetrical-dimethylarginine,0.5151967405408626,0.0006881164475210689,0.002999109938442731
lorlatinib,2.3573266463039646,0.0006931182171080796,0.003011838018484658
methylprednisolone,0.720906893833756,0.0007088762610138536,0.003071089669721695
marimastat,0.292098754595352,0.000733716251200914,0.0031692161656349926
tamoxifen,2.0534137270938286,0.0007393885716376413,0.0031842120927371037
4-chlorophenylguanidine,1.9487212170413424,0.0007611022314722221,0.0032679968217813214
amfenac,2.161756662940053,0.0007679811068613073,0.0032877771054092065
anguidine,0.2989737197660849,0.0007804916567784221,0.0033314791367503745
chloramphenicol-palmitate,2.171718612816333,0.0007935592157933595,0.0033736883920862304
oridonin,0.3273821504180179,0.0007960992137845802,0.0033736883920862304
a-674563,0.1793803017529417,0.0007973748653030343,0.0033736883920862304
hmn-214,0.3326725533656404,0.0008066439687857451,0.0034029557516996305
oleoylethanolamide,0.5061391787229033,0.0008113846121495752,0.0034130044586640563
crizotinib-(s),0.20883455411095586,0.0008456503355385585,0.0035468290884762147
ci-844,1.99930498320653,0.0008528151194688644,0.0035665418435590953
torin-2,0.13103308696593405,0.0008594690084541289,0.0035840105338130384
digitoxin,0.5146825558770509,0.0008792305366662507,0.0036558809958507606
metaraminol,10.172979908111506,0.0008880529675251814,0.003681984653320738
selamectin,0.6044020192391681,0.0009459294129180268,0.0039009699777637114
mk-1775,0.3434473911490649,0.0009462615495473826,0.0039009699777637114
palbociclib,1.5829363388005775,0.0009607075642551281,0.003949272288287415
8-bromo-cgmp,2.5022069577205848,0.0009749117551750728,0.0039963096593153835
k-ras(g12c)-inhibitor-6,0.5837470359646509,0.0009824702942356784,0.004015916711183691
fludarabine,2.1504861567939613,0.000987855196435291,0.00402655343448413
sb-228357,0.5831674504674729,0.0010046342166651126,0.004083443009871961
flubendazole,0.31808657567454673,0.001043196248525882,0.004224776110443462
blebbistatin-(-),1.9124381153760155,0.0010452452298125496,0.004224776110443462
3'-fluorobenzylspiperone,1.986147553321595,0.0010517836992338563,0.004239362152622257
dolutegravir,3.179477655489308,0.0010987755825584272,0.004416467411005679
dinaciclib,0.41911116511690205,0.0011396498046004346,0.004568069992401188
mexiletine,0.32070206931257883,0.0011493554124196918,0.004588968794764043
y-320,1.473117287335831,0.0011512064080852439,0.004588968794764043
embelin,0.6788869275612113,0.0011710201988607684,0.004651545761172528
vtp-27999,2.1712479456813023,0.0011738771701795862,0.004651545761172528
epothilone-b,0.4543474444382161,0.0011765485477464722,0.004651545761172528
flumethasone,0.7474887111846943,0.001195836944681083,0.004714921141562744
propranolol,0.6579429837568319,0.001200741518556236,0.004719731969181077
indoprofen,0.6109621196799211,0.0012035805781809381,0.004719731969181077
bntx,0.2103165294877584,0.001211989998943008,0.004739863590460899
nanchangmycin,0.36119320931810023,0.0012362475584757357,0.004821698698421535
chloroxine,0.3471325733760373,0.0012512784318488466,0.004867204007756132
sulfasalazine,0.6312212489884528,0.001338579154100159,0.005192825833734397
tiludronate,0.571752987368697,0.0013583226251024003,0.005255328445249127
iproniazid,0.6468626263291004,0.0013623543506080026,0.005256871320879412
nizatidine,1.9255896718559624,0.0013800646467676118,0.0053110466592359955
7-hydroxystaurosporine,3.8403886970109395,0.0014019323715999475,0.005380891622560011
