drug,HR,pvalue,padj
tivozanib,0.3546041154322953,1.3211936226291416e-05,0.0005678631832331869
golgicide-a,2.1510697323636534,1.367343764861704e-05,0.0005678631832331869
decitabine,0.5799803062743137,1.3735460548142049e-05,0.0005678631832331869
vinorelbine,0.4503342412094912,1.684401060960086e-05,0.0006770356486692346
ly2606368,0.5412819438181037,1.908711994597611e-05,0.0007215436882629266
parbendazole,0.4712230323794319,1.9204854199684003e-05,0.0007215436882629266
demecarium,0.6413140390584757,1.9447272869560567e-05,0.0007215436882629266
azd6482,0.361556322692658,2.0107136452862575e-05,0.0007273756611823036
adapalene,0.4323845430894332,2.17541612155101e-05,0.0007572632060341238
topotecan,0.5915530592385063,2.1994264955893925e-05,0.0007572632060341238
astemizole,0.6793369000689345,2.2720600183181033e-05,0.0007572632060341238
ve-822,0.5178247943018761,2.3026662795785384e-05,0.0007572632060341238
ly2603618,0.34887392012625174,2.394051553412809e-05,0.0007698205772862966
pki-179,0.3134879769103717,3.0898083586774134e-05,0.0009719462380448298
fenaclon,1.8854190274964524,3.177002680926611e-05,0.0009781112509150652
homoharringtonine,0.5774884001376661,3.398496842604492e-05,0.0010245051940101458
paliperidone,0.6840453314427107,3.526823512861844e-05,0.00104149257614512
broxyquinoline,0.49503237300643227,3.623292537084658e-05,0.0010485808602323
taltobulin,0.5018442246850311,4.0102734857568104e-05,0.0011378168105666872
rutin,0.6674542841488332,4.132526222822368e-05,0.001149954893158455
podophyllotoxin,0.47081218133282465,4.273936813149945e-05,0.0011668653903071642
er-27319,0.13137981532112622,4.912324080756926e-05,0.001315067236315264
tagatose,0.570359730193186,4.998527850541778e-05,0.001315067236315264
fudosteine,1.7550896169461478,5.190779481580912e-05,0.0013412603410442106
pf-03758309,0.6392663775991355,5.687189382671406e-05,0.0014437479011799165
terfenadine,0.6599308260830565,5.87172007260487e-05,0.0014559607717050552
sn-38,0.5890849748729619,5.936536664174033e-05,0.0014559607717050552
kx2-391,0.5472292941663649,6.378036280782869e-05,0.0015381697497154686
rimexolone,0.7671269834325302,6.598579685021128e-05,0.0015478111023500458
talazoparib,0.6547113157683098,6.743749614218671e-05,0.0015478111023500458
desoxycortone,0.7507643415614896,6.746443991623654e-05,0.0015478111023500458
tg-02,0.3126815417917379,6.845881862501931e-05,0.0015478111023500458
erlotinib,1.93580102458514,7.873586368632696e-05,0.0016895382632021332
ski-ii,0.5039364099395686,7.919555258203435e-05,0.0016895382632021332
digoxin,0.24088060975005113,7.994210152443281e-05,0.0016895382632021332
cabazitaxel,0.5843480692902768,8.115546966628592e-05,0.0016895382632021332
etoposide-phosphate,0.5388438993256287,8.201340971078157e-05,0.0016895382632021332
vindesine,0.5905380666134985,8.202510793095454e-05,0.0016895382632021332
cnx-2006,1.6821117848086318,8.322892678633445e-05,0.0016895382632021332
pp242,0.3571962027006913,8.406824806534457e-05,0.0016895382632021332
bms-387032,0.29230106385875737,8.948078212681651e-05,0.0017736807087329247
volasertib,0.6792750988187891,9.304136282283209e-05,0.0018193358379005138
cibenzoline,0.4027104457236594,9.874809974148751e-05,0.0018725224272824607
dichlorisone-acetate,0.7372022459468823,9.935794633393829e-05,0.0018725224272824607
carboxypyridine-disulfide,0.5382223905834832,9.964355694592222e-05,0.0018725224272824607
sb-239063,0.5112506211691488,0.00010616829632455257,0.0019695580100208662
levobunolol,0.6211024006823319,0.00010958270241843801,0.002007166713917466
temsirolimus,0.5663989671851722,0.00011418248102218039,0.002065275625488688
temazepam,1.7681028983277742,0.0001213453779768525,0.0021677378016358713
oxiperomide,0.55628441084136,0.00012367202032906308,0.002182358700197003
ciclopirox,0.6379233911895102,0.00012731195346065558,0.0022195228512960075
rubitecan,0.6424195104308108,0.0001394685465872069,0.0024025117489486713
maytansinol-isobutyrate,0.6293285221285688,0.000150250308082813,0.0025577905387744754
gdc-0068,0.5181019959315252,0.00015547235848401404,0.0026159128223996317
tacalcitol,1.4798698813065039,0.00016114178229196128,0.002671978783256191
gsk923295,0.5717175714156576,0.00016505613604747587,0.002671978783256191
yo-01027,1.4682524333380147,0.000166137641846516,0.002671978783256191
primaquine,0.6733756999452482,0.00016740696537691484,0.002671978783256191
beta-naphthol,1.5047292849661726,0.00016829815797737775,0.002671978783256191
gw-842166,0.7006435013905492,0.0001698839309326673,0.002671978783256191
avn-944,0.4785869264580556,0.0001744743286831346,0.0027146704688655455
methocarbamol,1.5918756062868256,0.00019559671063723436,0.003010940854171044
brigatinib,1.7355210178468905,0.00023123368836464901,0.0034461663346687485
wp1066,5.529041671068095,0.00023221121755289962,0.0034461663346687485
tg-101209,0.5656591786098428,0.00023282950137375693,0.0034461663346687485
emd-53998,0.690336706148756,0.0002333961995836471,0.0034461663346687485
doxorubicin,0.4030838250204712,0.0002626840169043368,0.003839432045056317
