target,n_sig,n_total,pct_sig,odds_ratio,pvalue,padj
PRKCA,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
MMP2,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
NOS2,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
TSPO,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
MAPK8,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
LYN,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
SCN1A,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
RELA,2,5,40.0,1.0843958712811173,0.6293896100403735,1.0
DRD2,7,19,36.8421052631579,0.9479166666666666,0.629814597735844,1.0
FLT1,7,19,36.8421052631579,0.9479166666666666,0.629814597735844,1.0
TOP2A,7,19,36.8421052631579,0.9479166666666666,0.629814597735844,1.0
VDR,3,8,37.5,0.9755474452554744,0.6437148673815205,1.0
SCN10A,3,8,37.5,0.9755474452554744,0.6437148673815205,1.0
GABRA2,4,11,36.36363636363637,0.9287020109689214,0.6572399476847147,1.0
ESR2,4,11,36.36363636363637,0.9287020109689214,0.6572399476847147,1.0
PGR,5,14,35.714285714285715,0.9025234025234026,0.6697617299772097,1.0
CYP19A1,3,9,33.333333333333336,0.8120437956204379,0.731095769186958,1.0
IGF1R,3,9,33.333333333333336,0.8120437956204379,0.731095769186958,1.0
MAPK14,4,12,33.333333333333336,0.8117001828153565,0.7324792339978898,1.0
TYMS,4,12,33.333333333333336,0.8117001828153565,0.7324792339978898,1.0
GABRA5,4,12,33.333333333333336,0.8117001828153565,0.7324792339978898,1.0
GABRA3,4,12,33.333333333333336,0.8117001828153565,0.7324792339978898,1.0
GABRQ,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
GABRP,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
GABRE,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
INSR,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
GABRG3,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
GABRD,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
GABRG1,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
GRIN2D,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
CDK6,2,6,33.333333333333336,0.8123861566484517,0.7361723006158212,1.0
ADRB2,5,15,33.333333333333336,0.8113553113553114,0.7364533811239891,1.0
PIK3CD,5,15,33.333333333333336,0.8113553113553114,0.7364533811239891,1.0
MET,5,15,33.333333333333336,0.8113553113553114,0.7364533811239891,1.0
HTR2A,6,18,33.333333333333336,0.8110091743119267,0.7415986719466194,1.0
PRKCE,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
CACNA1D,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
CACNB3,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
CACNA1F,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
CACNA1S,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
CACNB4,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
PARP2,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
PLK3,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
OPRL1,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
CACNB2,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
PDPK1,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
MMP12,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
CCR2,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
GPR55,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
GABBR1,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
EDNRA,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
HTR4,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
SIRT1,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
CETP,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
CHRNA7,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
GPR119,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
EPHA2,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
DPYD,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
DHODH,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
CXCR2,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
ALDH2,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
CXCR1,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
TYK2,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
BTK,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
PRKCG,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
PRKDC,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
PDE5A,1,3,33.333333333333336,0.8127272727272727,0.762882344298769,1.0
AR,5,16,31.25,0.7367632367632367,0.7927212863893963,1.0
KCNH2,4,13,30.76923076923077,0.7206987609181393,0.7945581991510601,1.0
ADRB1,4,13,30.76923076923077,0.7206987609181393,0.7945581991510601,1.0
HDAC1,7,22,31.818181818181817,0.7557598039215686,0.7950143439216296,1.0
GABRB2,3,10,30.0,0.6952554744525548,0.8006289525230949,1.0
HTR7,3,10,30.0,0.6952554744525548,0.8006289525230949,1.0
NTRK1,2,7,28.571428571428573,0.6491803278688525,0.8154923505755429,1.0
MAPK11,2,7,28.571428571428573,0.6491803278688525,0.8154923505755429,1.0
TGFBR1,2,7,28.571428571428573,0.6491803278688525,0.8154923505755429,1.0
RRM2,2,7,28.571428571428573,0.6491803278688525,0.8154923505755429,1.0
PARP1,2,7,28.571428571428573,0.6491803278688525,0.8154923505755429,1.0
GABRA4,2,7,28.571428571428573,0.6491803278688525,0.8154923505755429,1.0
CDK7,2,7,28.571428571428573,0.6491803278688525,0.8154923505755429,1.0
GRIN1,2,7,28.571428571428573,0.6491803278688525,0.8154923505755429,1.0
GABRB1,2,7,28.571428571428573,0.6491803278688525,0.8154923505755429,1.0
CDK2,5,17,29.41176470588235,0.6746031746031746,0.839119698837461,1.0
PIK3CB,4,14,28.571428571428573,0.6478976234003656,0.8444767868206002,1.0
RET,4,14,28.571428571428573,0.6478976234003656,0.8444767868206002,1.0
HTR1F,1,4,25.0,0.5412121212121213,0.8533614497637124,1.0
MAPK1,1,4,25.0,0.5412121212121213,0.8533614497637124,1.0
