drug,n_samples,pearson_r,spearman_r,rmse
dequalinium,89,0.1751229390694084,0.19223697650663943,0.17618682658828494
desonide,87,0.22051315265781135,0.2362761536779179,0.2571568618190782
desoxycortone,85,0.39423164198295363,0.40400625366425635,0.28891932867103687
dexamethasone-acetate,68,0.21999351833161543,0.16604954765812877,0.2858955134980899
dexrazoxane,80,0.13297300748942228,0.19753867791842478,0.08391839851305474
dianhydrogalactitol,95,0.2092856054962081,0.22967525195968647,0.14687398732926157
diaveridine,86,0.3472450018711531,0.3020048115477145,0.20573703929826714
diazooxonorleucine,87,0.005989567157443489,-0.047696289276080765,0.20183523389081923
dichlorisone-acetate,73,0.03373882523216288,0.06337159076885106,0.3112714653565643
dichloroacetate,92,0.08308100790250916,0.15637498781436618,0.11988805017429133
dichlorvos,94,-0.003077685115265523,0.0897084853520211,0.1342799985824262
diclazuril,91,0.12852812232936728,0.1446886446886447,0.0999694653354752
dicycloverine,83,0.16421868868655579,0.13154359598673437,0.18526530380506634
dienogest,87,0.13987004444163784,0.2374061383684479,0.20581442295527955
difluprednate,90,0.09895346892777462,0.2822982261184508,0.25993713707024707
digitoxigenin,95,0.27642112326690454,0.25811870100783874,0.08041423639534917
digitoxin,62,0.004466623734850397,0.05038906096547556,0.17565816141475707
digoxigenin,90,0.1553776369240724,0.22446392558752104,0.09940248151687844
digoxin,91,0.28399478561322045,0.2476668259276955,0.06253195640147033
dihydroartemisinin,85,0.3008660264487217,0.2972249364862224,0.2759382437276301
dihydroergocristine,78,-0.18959729887866783,-0.1671113696430152,0.20840265799411292
dihydromyricetin,89,0.18751859025250067,0.16433435478379302,0.2480601913599918
dimethisoquin,71,0.1634474518740913,0.0698524480214621,0.27416833926446876
dinaciclib,91,0.2964884570778905,0.2853161331422201,0.12005866523448534
dioscin,88,-0.13496377555539069,-0.11125004402803708,0.16144254960665275
diphemanil,82,-0.09727032709359831,-0.05817307169055626,0.19958139779283113
diphenyleneiodonium,90,0.19822192428192695,0.22159937440836316,0.11054107359399087
dirithromycin,85,0.13194972737337787,0.08127809263240181,0.2616787108939331
disulfiram,94,0.18211456762716519,0.1911859263808113,0.07541045735343042
dmh1,84,-0.16387020547155615,-0.12600992204110562,0.21523252555332892
docetaxel,95,0.29441487064763017,0.3022675340572339,0.20718952128574392
dofetilide,88,0.1602803913183253,0.15441513155577474,0.23301941592408393
dolastatin-10,89,0.2574807008525127,0.34467143343547846,0.14313944102357778
dolutegravir,74,-0.17134461369350554,0.032565716401332837,0.11386892940130912
domiphen,89,0.09699278443002113,0.2291113381001022,0.24431961269529962
domperidone,86,0.26559870467628055,0.3352516628142837,0.26899174216696375
dorzolamide,69,0.11841300326364389,0.13759590792838877,0.1658413655178112
dovitinib,92,0.11220321044067723,0.056693657297223886,0.1145191861415186
doxercalciferol,74,-0.02809397772914353,-0.04059237319511291,0.2833048165154966
doxifluridine,82,0.11919277142908707,0.07425909600461468,0.16912793839070603
doxorubicin,90,0.20740274860167027,0.2529283450631765,0.08496350946956087
doxycycline,94,0.13582906644874695,0.08495466531806525,0.16501657943973227
dpi-201106,92,-0.0016071596964392018,0.0014641739746929087,0.07955232872349796
dronedarone,90,-0.027928008369946238,-0.004848335185413836,0.08297707841666492
drospirenone,87,0.04229586301088694,0.008037471750382736,0.18425178619399743
du-728,85,0.1411330418783148,0.1609341410982998,0.2211112871886881
dvd-111,81,-0.09756567268351758,-0.08283649503161697,0.20769596125347398
e7449,87,0.1309361786613691,0.14859298680469488,0.2312288040072547
ebastine,88,0.15224282535346398,0.029040893240815758,0.1941774225815187
ecamsule-triethanolamine,84,-0.010758990572177466,0.10007087172218286,0.2541598707336428
echinomycin,91,0.2773813736271653,0.29735626692148437,0.09492044048857927
efonidipine-monoethanolate,90,0.03325458585092617,0.04794830637527267,0.17135501338789583
elacridar,92,0.04648403888235722,0.009709785305858235,0.11216524003260371
elesclomol,87,0.1865818146827603,0.20710281972120115,0.19027576845479846
eltrombopag,92,0.09107365103900113,0.031256261270286516,0.24213989482246834
embelin,71,0.1945716390249842,0.13568075117370892,0.2121358537153411
emd-53998,83,0.21824456335874998,0.15668947567272576,0.3084508715614637
emetine,93,0.19852343596005856,0.1921309420787204,0.06667795007765759
endo-iwr-1,94,0.054136329541107114,0.0555214391503811,0.19811975758485986
enmd-2076,84,0.1545785909369917,0.17894097397995343,0.15456601947579007
