drug,fisher_p,mean_HR,n_cohorts,pvals,fisher_padj
zk811752,0.08171224837983881,0.6072775212207279,3,"[np.float64(0.18605106873098312), np.float64(0.07592865838920301), np.float64(0.25871967256792233)]",0.1615268079311841
anagrelide,0.0820739150457398,0.4983110001806811,3,"[np.float64(0.3176778319409161), np.float64(0.018520295583947907), np.float64(0.6251099493023516)]",0.16202040255277692
hesperadin,0.08232589656379607,1.0924644770033343,3,"[np.float64(0.019206549581990435), np.float64(0.3333890954007714), np.float64(0.5768751255936986)]",0.16229642006514022
bafetinib,0.08255044639255105,0.47232295481030423,3,"[np.float64(0.03725882242386668), np.float64(0.5359226608985159), np.float64(0.18570871398822475)]",0.16251768153744403
a-803467,0.08371854870234052,1.162658504740886,3,"[np.float64(0.21645528262488814), np.float64(0.019202872852129994), np.float64(0.9101369043041285)]",0.16447597561642638
norethindrone-acetate,0.08377249069060555,0.7331093862301699,3,"[np.float64(0.017696470487486186), np.float64(0.5391922593160088), np.float64(0.3968339899066343)]",0.16447597561642638
isoflupredone-acetate,0.08417805785857657,1.0660543766299173,3,"[np.float64(0.11535137946612686), np.float64(0.04174333295224781), np.float64(0.7917982631763544)]",0.16504830585550176
obidoxime,0.08534650515847064,0.7401936978193328,3,"[np.float64(0.013136542302051192), np.float64(0.34972986565718966), np.float64(0.846327748457837)]",0.16710092821331826
fendiline,0.08545589970826228,1.5130583824134973,3,"[np.float64(0.021894434381156097), np.float64(0.23576195510557002), np.float64(0.7546366124933758)]",0.16710092821331826
avl-292,0.08584024815947411,1.285549841964974,3,"[np.float64(0.015714954217726458), np.float64(0.470352142035241), np.float64(0.5303807435354425)]",0.16762596367983676
plx-4720,0.08601614093845733,0.6246368143749856,3,"[np.float64(0.2436331666399559), np.float64(0.034727146877907664), np.float64(0.4647146099619819)]",0.16774306730181637
wye-125132,0.08624072766353663,0.5480371043312026,3,"[np.float64(0.036231223763923875), np.float64(0.2551645670445367), np.float64(0.4268781007410255)]",0.16791298232003687
estrone,0.08633535511133894,1.0522164856510539,3,"[np.float64(0.008254249914337037), np.float64(0.7754270762442919), np.float64(0.6175443578022195)]",0.16791298232003687
zstk-474,0.08711765512068759,1.0597916075959735,3,"[np.float64(0.09024491807474581), np.float64(0.07795316313715737), np.float64(0.5691435604391109)]",0.16918495447343673
amonafide,0.08722672229827155,1.0778430076705021,3,"[np.float64(0.07842274134705107), np.float64(0.07368594475161858), np.float64(0.6941088548095911)]",0.16918495447343673
cudc-101,0.08734012508062006,0.7812475272071729,3,"[np.float64(0.04735133477755761), np.float64(0.2765375160311323), np.float64(0.30688370030222656)]",0.16918495447343673
deoxycorticosterone-acetate,0.08808362163347705,0.4599649472502139,3,"[np.float64(0.20159868400751652), np.float64(0.0642664285216337), np.float64(0.3139410405418992)]",0.17039705949684666
aspirin,0.08873166202741578,0.917550735408056,3,"[np.float64(0.037115382752058196), np.float64(0.1730356170080318), np.float64(0.6400032721692376)]",0.17122307667090683
cnx-774,0.08874727539957161,1.1576140793454046,3,"[np.float64(0.013469807241326844), np.float64(0.355168518210373), np.float64(0.8593797005810248)]",0.17122307667090683
cs-110266,0.08893840084115057,1.0585199714899205,3,"[np.float64(0.07950202744658749), np.float64(0.05955283700027163), np.float64(0.8710372142658962)]",0.17136333690698385
sb-216641,0.08925109468384096,0.8648292500286605,3,"[np.float64(0.013257894117837522), np.float64(0.332784620828891), np.float64(0.9394213990849662)]",0.1717371462865929
tak-733,0.09013537864687793,0.8478751542335174,3,"[np.float64(0.023207373729934054), np.float64(0.6194125975931989), np.float64(0.2924302077243742)]",0.17308692024463862
alvespimycin,0.09019180225601764,1.3361196440516636,3,"[np.float64(0.10873672180483912), np.float64(0.04218429741849327), np.float64(0.9172558446035916)]",0.17308692024463862
clocortolone-pivalate,0.0904259400330556,0.9865081213830242,3,"[np.float64(0.11251219026189711), np.float64(0.04741961934752444), np.float64(0.7915400925026341)]",0.17330640427527344
vs-4718,0.09067353212441454,1.0357993108152626,3,"[np.float64(0.01245181962150598), np.float64(0.4012265855707412), np.float64(0.848612880595111)]",0.17355105950268232
fph1-(brd-6125),0.09145656985126138,0.6460677972885447,3,"[np.float64(0.02132622899804956), np.float64(0.534893985329609), np.float64(0.3762739574164359)]",0.17481856879098442
uh-232-(+),0.09192304662146511,0.802748110605138,3,"[np.float64(0.6148928243489529), np.float64(0.04641514781675324), np.float64(0.15149434944138337)]",0.1754784280491557
smi-4a,0.0924719724272226,0.7252147908812834,3,"[np.float64(0.023965259415638793), np.float64(0.3318122574893643), np.float64(0.5483934725352007)]",0.1762937339949817
gsk429286a,0.09284072507944907,1.3920249242415421,3,"[np.float64(0.060025907267724846), np.float64(0.30535823677188495), np.float64(0.2392766719706485)]",0.17657784330110052
fexinidazole,0.09286505787984622,0.6913842782614349,3,"[np.float64(0.627529949129626), np.float64(0.028945857827828277), np.float64(0.24154124868315252)]",0.17657784330110052
birinapant,0.0930716726820413,0.7359698171193109,3,"[np.float64(0.2664637955201736), np.float64(0.05279953145076933), np.float64(0.31284577872045427)]",0.17673846505369262
panobinostat,0.0947393110283975,0.5266460858938524,3,"[np.float64(0.5377586822763023), np.float64(0.07169216905626911), np.float64(0.1171192413931108)]",0.1796694404431077
whi-p154,0.09504175670411197,0.6867373645957903,3,"[np.float64(0.14282429299615582), np.float64(0.3607031137908797), np.float64(0.08804963129206375)]",0.18000709679430632
talmapimod,0.09546755030380405,1.3007492831160814,3,"[np.float64(0.07839394283713909), np.float64(0.8153097779230483), np.float64(0.07142811916733757)]",0.18057718338510387
parachlorophenol,0.09568610948090805,0.6433162295604736,3,"[np.float64(0.2879082192187602), np.float64(0.048874362943880555), np.float64(0.32551380704856975)]",0.18075430864082762
buphenine,0.09586629606154562,0.7749220958209965,3,"[np.float64(0.1321036651949766), np.float64(0.10368038086456953), np.float64(0.33532815834259677)]",0.18085857940163821
nafcillin,0.09601501172752747,0.6749996492238388,3,"[np.float64(0.03628505579858927), np.float64(0.5366620272477353), np.float64(0.23638648376074226)]",0.1809032838147555
cep-37440,0.09617142221365593,2.0216635411995973,3,"[np.float64(0.010057610292720877), np.float64(0.6966347426068648), np.float64(0.6585214284509937)]",0.18096235103141758
mozavaptan,0.0963640178688745,1.7551058087541456,3,"[np.float64(0.012322680163544392), np.float64(0.4290542140116925), np.float64(0.8751945785100996)]",0.1810892647483914
oxyphencyclimine,0.09686240741114116,0.7843546187767355,3,"[np.float64(0.0074447712854048935), np.float64(0.8017990076970302), np.float64(0.7809707869218245)]",0.18178975813738166
ethacridine-lactate-monohydrate,0.097198534180992,0.6389901060278234,3,"[np.float64(0.371557341466101), np.float64(0.05229201006499826), np.float64(0.24113496714729743)]",0.182184299170849
ritodrine,0.09743682744602455,0.5717621104474238,3,"[np.float64(0.12590323414285653), np.float64(0.14505419148880316), np.float64(0.25744727018722047)]",0.18239468216610288
quinidine,0.09807820544405965,0.6894346323954808,3,"[np.float64(0.03194192252299214), np.float64(0.2621947786566259), np.float64(0.566738401714215)]",0.1831630035702583
trans-4-hydroxycrotonic-acid,0.09814920464801336,1.4934916276743158,3,"[np.float64(0.2605948282669385), np.float64(0.056866010544776226), np.float64(0.3206290750932705)]",0.1831630035702583
mycophenolic-acid,0.0982270150452802,1.1255207145335093,3,"[np.float64(0.017824615932923556), np.float64(0.6163462311621433), np.float64(0.43298558809120247)]",0.1831630035702583
ciclesonide,0.09883925934629723,0.9360716996827051,3,"[np.float64(0.008424389901185724), np.float64(0.630406053312078), np.float64(0.9037682202486279)]",0.18406744951620602
sobetirome,0.09942218033468853,0.9930504832832912,3,"[np.float64(0.02191229416759543), np.float64(0.29504519636320065), np.float64(0.7487384622073443)]",0.18491503206207494
