drug,HR,pvalue,padj,cohort
ggti-298,0.43447747278134546,1.556539737740609e-06,1.6934684214365874e-05,SCANB
genipin,0.23180353881922616,2.023918842740759e-06,2.1855302727208044e-05,SCANB
s26948,1.8922913223305555,2.0473212246202714e-06,2.194425045944839e-05,SCANB
trovafloxacin,0.43443439334344036,2.1986824291574434e-06,2.3393334374932505e-05,SCANB
pf-05212384,0.08251209114218598,2.2935361190450816e-06,2.4224428936191484e-05,SCANB
roquinimex,0.29825444022593683,2.366070595241376e-06,2.4809450371842544e-05,SCANB
doxorubicin,0.1465842326046848,2.4035679400864138e-06,2.5021315174856408e-05,SCANB
tak-715,0.4017422987439843,2.844003146712994e-06,2.9394803952097874e-05,SCANB
way-600,0.17448620691767838,2.8971810966112694e-06,2.9732064161677354e-05,SCANB
ixabepilone,0.13593738350608658,3.2632960770039305e-06,3.325344664383582e-05,SCANB
mebendazole,0.11819928657913799,3.308873609512468e-06,3.348209869205973e-05,SCANB
oxiracetam,0.26806343745219174,3.4374070418508793e-06,3.454116659415432e-05,SCANB
pralatrexate,0.3392254214480438,3.8321758533863655e-06,3.824247213689704e-05,SCANB
pelitinib,3.419099570527163,3.9872980203244305e-06,3.951794681787295e-05,SCANB
evodiamine,0.2477012323891392,4.093352075681069e-06,4.029306430959528e-05,SCANB
trametinib,1.9970703140462072,4.844219645626288e-06,4.73620664001435e-05,SCANB
naloxone,0.6028650997805844,4.932903343721332e-06,4.7905443881642735e-05,SCANB
d-7193,0.43419925827094785,5.148458806751788e-06,4.9665465955798915e-05,SCANB
pf-477736,0.3583475527435778,5.4063341261209094e-06,5.180771841388712e-05,SCANB
epirubicin,0.15226994989521944,5.943944859241972e-06,5.658479086396799e-05,SCANB
ac-264613,0.3906112799846821,6.082424324606283e-06,5.7524627435982293e-05,SCANB
efonidipine-monoethanolate,0.3428625071569642,7.231325493737549e-06,6.794628564570281e-05,SCANB
difluprednate,0.5067745405114543,7.291183921719642e-06,6.806672990147305e-05,SCANB
sb-366791,2.619071781710133,7.533997278758529e-06,6.988265424592045e-05,SCANB
fenbendazole,0.3921778357401797,7.759095825606869e-06,7.151217617613465e-05,SCANB
