drug,HR,pvalue,padj,cohort
fr-122047,0.2003639417390512,0.05734214422573019,0.9967351166470957,TCGA
tanaproget,0.256980354455649,0.05782520160879813,0.9967351166470957,TCGA
acetophenazine,0.31546251207918535,0.05960252423980643,0.9967351166470957,TCGA
salvinorin-a,0.3154741985859159,0.06049139171712783,0.9967351166470957,TCGA
chlorpropamide,0.18537056567262628,0.06100063782061301,0.9967351166470957,TCGA
icg-001,0.16483166014126438,0.06151535436889233,0.9967351166470957,TCGA
r547,0.07895877094641883,0.06163226984087314,0.9967351166470957,TCGA
tiludronate,0.24332805425640497,0.06245450086687904,0.9967351166470957,TCGA
bvd-523,0.18810218173108356,0.06345225686207982,0.9967351166470957,TCGA
fenofibrate,0.28930715359221393,0.06387369416587513,0.9967351166470957,TCGA
cep-32496,0.28157490495928333,0.06431214803072452,0.9967351166470957,TCGA
d-4476,0.23516151743958302,0.06487260955440229,0.9967351166470957,TCGA
belinostat,0.0756501991492589,0.06500395633653433,0.9967351166470957,TCGA
gsk461364,0.32749098725569636,0.06664420566059621,0.9967351166470957,TCGA
"hydroxytacrine-maleate-(r,s)",0.3734263475308879,0.06749033174824284,0.9967351166470957,TCGA
oxymatrine,0.23730858926097442,0.06768988355412286,0.9967351166470957,TCGA
nicorandil,0.22354076594583208,0.0687145946058353,0.9967351166470957,TCGA
azd5363,0.3211401760354026,0.06899145105033035,0.9967351166470957,TCGA
tak-632,0.04990960810390133,0.06924789363136213,0.9967351166470957,TCGA
vinblastine,0.2649191232847347,0.06995261590263846,0.9967351166470957,TCGA
ggti-298,0.20768512816802284,0.07072045729124717,0.9967351166470957,TCGA
dacarbazine,13.633821162937672,0.07087589531648432,0.9967351166470957,TCGA
mubritinib,0.06462650525674943,0.07118179460788067,0.9967351166470957,TCGA
apatinib,0.27020070887090736,0.07132101793507513,0.9967351166470957,TCGA
noretynodrel,5.846180188272862,0.07140813057761045,0.9967351166470957,TCGA
talmapimod,3.166446751168859,0.07142811916733757,0.9967351166470957,TCGA
oxyquinoline,0.0611992681749903,0.07329582074668228,0.9967351166470957,TCGA
ecamsule-triethanolamine,0.33424378709898706,0.0757368065286048,0.9967351166470957,TCGA
ki-8751,0.22939556760648874,0.08099072571431436,0.9967351166470957,TCGA
iododexetimide,0.30144272077515216,0.08134852556268572,0.9967351166470957,TCGA
cabazitaxel,0.23490669857466467,0.08318911394873042,0.9967351166470957,TCGA
epothilone-a,0.062405302126059194,0.08335927027942838,0.9967351166470957,TCGA
pentamidine,0.28844196778760617,0.08347979538974179,0.9967351166470957,TCGA
rigosertib,0.2769655196378395,0.0838708062799677,0.9967351166470957,TCGA
homosalate,0.27425604784019825,0.08492658620851902,0.9967351166470957,TCGA
meloxicam,0.37522638122382584,0.08513807153745095,0.9967351166470957,TCGA
thioproperazine,5.818271560470747,0.08517657355394066,0.9967351166470957,TCGA
vinflunine,0.14307173408402066,0.08547889656178317,0.9967351166470957,TCGA
quinethazone,0.37637044105782647,0.08643681658013107,0.9967351166470957,TCGA
anastrozole,0.33803387634373694,0.08692252730037472,0.9967351166470957,TCGA
bi-2536,0.29817164733529394,0.08702715048025138,0.9967351166470957,TCGA
