drug,n_samples,pearson_r,spearman_r,rmse
SN-38,337,0.24989398435736934,0.27361565049878217,0.13377263901452646
ribociclib,17,-0.3112331043884339,-0.35539215686274517,0.13880564915458324
PRT062607,260,-0.09058757571556081,-0.1279682107268314,0.08060474229707834
YM-201636,315,-0.02951930826951787,-0.04403658101150643,0.06989689158631711
tamoxifen,272,0.16230657582271069,0.15008098044781348,0.05828524196508349
temsirolimus,330,0.11274349372050958,0.11690181644543025,0.11082142602011222
sorafenib,287,0.08552670866795985,0.05995782672611942,0.05520721935362914
osimertinib,279,0.03901336926641667,0.11121738553857374,0.10862955425425128
CUDC-101,320,-0.0038870543511112104,0.01948480942196701,0.20366814852945572
dasatinib,252,0.13399028171004526,0.10525337010699908,0.10224938709279803
pevonedistat,284,0.2290482649987282,0.2687833154777652,0.1246186568280273
AZD8055,39,0.18727039654622094,0.21842105263157893,0.07773411220446982
nelarabine,148,-0.18949641327117286,-0.22099157094363234,0.057355161137457575
ibrutinib,187,-0.030613421858508738,0.0930029839351976,0.12543546453428736
PHA-665752,24,0.1525891016275528,0.1417391304347826,0.16215751551622345
docetaxel,301,0.1169821775087582,0.16980176453763393,0.09326377590490759
voxtalisib,313,-0.005215928759163833,-0.06447420530874266,0.13016688640713123
panobinostat,326,0.015829994622911764,-0.008401920587433056,0.26529085384136525
AZD7762,277,0.08634690390285271,0.13579913027669213,0.13879186425211865
CX-5461,272,0.017558531700556386,0.02133876542385333,0.11745930671499895
epirubicin,289,0.26225881396264383,0.28440072783677367,0.09774550736599717
AZD8931,262,-0.005232248552813626,0.05120519007903822,0.09775202262144896
5-fluorouracil,254,-0.0012469319988610763,0.023901052126679933,0.05803562776920135
ponatinib,270,0.07440109742763781,0.003154135630575636,0.07445967557047235
ABT-737,289,-0.07031288020820568,-0.06712007318140238,0.08074965066299478
vincristine,273,0.16455802233595956,0.18290050439041425,0.1656176768886039
TWS-119,323,0.0330239383382454,0.01614686047314934,0.11514621623187171
AZ960,265,0.032472093513866256,0.061574175576161676,0.14128258287727177
BMS-345541,253,-0.02901131230675558,-0.0066165148328790925,0.08370850771383778
BAM7,184,0.06631539703874739,0.06378416905858103,0.2018624726133607
uprosertib,296,0.0585138454478709,0.000654737942873536,0.13104393412930807
olaparib,260,0.06303222229370077,0.05455588214208903,0.1681342475724049
bosutinib,283,0.2372264460699269,0.2174463214139358,0.08299506078661846
TW-37,336,0.23460411852480334,0.2453774999525476,0.22377254744481975
crizotinib,175,0.094924597461776,0.05207568293775191,0.061942215283866314
AZ-628,55,-0.03830756401707572,0.014285714285714289,0.1895300252677291
cyclophosphamide,180,-0.033104888026993295,-0.020031482453162136,0.049216040612682616
fulvestrant,276,-0.0064920321143919005,-0.018903269074356816,0.05489518626360139
sirolimus,245,0.07617187957423294,0.07650246024039364,0.11426054840339865
filanesib,312,0.13198613718386257,0.1052760302783417,0.18845753782381536
talazoparib,280,0.042191999470005355,0.13682590703598624,0.12977059490475054
dacinostat,321,0.033982593451602,0.057086622743367975,0.2867905479218393
cediranib,292,0.15278554159524768,0.10565648688289048,0.11529753839172996
NVP-BEZ235,286,0.1672692855101425,0.19697657926156,0.07393823194001717
tenovin-6,321,-0.04364990231856581,-0.05492722180298369,0.11937448038783594
midostaurin,289,0.17224018554846707,0.18964522928846997,0.11212857241866055
topotecan,278,0.15452495517778744,0.21129564265205977,0.11127143646323685
podophyllotoxin,272,0.1090729448488065,0.1412041399017739,0.13321839176105968
EPZ-5676,163,-0.14163051082894132,-0.11854013223158817,0.049665376908035824
buparlisib,286,0.11263074493421762,0.11303176925769993,0.16044813380583853
carmustine,200,0.03602738146378099,0.036320408010200256,0.10600307289478383
afatinib,261,0.008526742456982617,0.09474018128927317,0.10724908191403229
PHA-793887,284,0.12767718698699382,0.10704644455911588,0.16327256198036097
Y-39983,303,0.05208850174971955,0.039648823718203115,0.10542141609386514
cabozantinib,307,0.07087894418133475,-0.04261651358796406,0.07734997938292455
saracatinib,50,-0.04719942327425523,-0.015990396158463382,0.09685641095972919
AZD5363,285,0.10250102084178332,0.08752663200402265,0.12017655274827113
GS-9973,264,-0.08209951579180895,-0.09364242902516809,0.07836014155315486
erlotinib,257,0.1577690127753042,0.133588730657859,0.06197175398914971
elesclomol,334,0.18480726086544982,0.15826789341848777,0.23307888226970877
methotrexate,270,0.11526545184196853,0.11689872289057461,0.06933489609069673
cisplatin,255,0.03648240919434676,0.06023622047244095,0.05561847469609764
TPCA-1,328,0.014958376168794916,0.04454087972462782,0.10612372543925823
tozasertib,18,0.2546191483870318,0.30443756449948395,0.11052849200087214
alectinib,180,0.04490113438397131,-0.023418418263938187,0.060174249561903675
trametinib,278,-0.011489110703948367,-0.012673499258122323,0.13708590511220242
GSK650394,273,0.13522996411251592,0.1347492674779064,0.1311530996415752
idelalisib,300,0.08048149315813749,0.02842653807264525,0.053156411287098616
tipifarnib,311,0.0678634320179164,0.06921441280428937,0.20364729575129037
PF-562271,284,0.10440825888533553,0.128899564393989,0.08991648997465844
ACY-1215,325,-0.08318380768647403,-0.07239648331672872,0.1126260616192236
vinorelbine,279,0.15333462027083103,0.15031771817568987,0.1090492563429019
LCL-161,157,-0.10631232067062205,-0.16749669744912832,0.06381804128491889
ZSTK-474,309,0.009650439117151677,0.0010017855617605066,0.18804824318802754
BMS-754807,17,0.08731947281398342,-0.01715686274509804,0.1420607194709126
MK-1775,275,0.12390817047548196,0.1281878768644875,0.10375748235223518
PAC-1,224,0.012654401309639553,0.010558402733290626,0.1083972484950884
vinblastine,281,0.17822539722314665,0.19618059686962538,0.11355035005404429
PI-103,307,-0.0025995018599836075,-0.025781174181250824,0.18597921505977377
GSK2126458,325,-0.054084346531192984,-0.04788352297554752,0.167257983458059
camptothecin,286,0.17574403235945002,0.24341435201512224,0.14818947321920325
vorinostat,285,0.047093128564181554,0.056907732741683814,0.08515931252606605
navitoclax,277,-0.03307789200551671,-0.03847131053593791,0.09812020495779007
I-BET-762,261,-0.06779794062669438,-0.058711806750764366,0.06482710569897487
dinaciclib,277,0.15730129122842862,0.19631784762113397,0.13496602999371543
dacomitinib,324,-0.05364644815672816,-0.06162243214874795,0.1854764616456779
WYE-125132,312,-0.025217619651633903,-0.02942726710229253,0.22241220230296913
TAK-715,293,0.10428708784445058,0.07510106759053148,0.12974547373944648
vismodegib,206,0.1053773195824205,0.10250354339761211,0.04749625002549772
lapatinib,282,-0.05902249192465025,0.06475980052338666,0.1181216635964101
ZM-447439,20,-0.05519629829277215,-0.11879699248120301,0.1856115459386237
gemcitabine,271,0.16047024608230417,0.20360200660830136,0.13380136651138094
OSI-027,63,-0.15532060145033696,-0.13354454685099845,0.14642630892849606
linifanib,207,0.08358343661296182,-0.006383197497591757,0.04804621280679856
linsitinib,274,-0.12315538146228261,-0.14669155661856392,0.07158099523643345
refametinib,338,-0.0025325539450723566,-0.013153059447092613,0.14655635196913974
MK-2206,279,0.03759958631922861,-0.023912851285791646,0.128126297540783
tivozanib,212,0.1614342774231011,0.013361578754472647,0.042647327071297036
alpelisib,269,-0.033917875018570236,-0.02450819015208961,0.05457417179786279
