rank,drug,HR,padj,HR_pen05,padj_pen05,moa,target,phase,disease_area,pass_stability,pass_class,pass_phase,pass_rank,selected
59,oleanolic-acid,2.1269125926855272,0.0020348193154987,1.3041998171052884,0.1312755112288024,G protein-coupled receptor agonist,GPBAR1,Preclinical,,False,False,False,False,False
60,maxacalcitol,1.9221817640686505,0.0021196635182331,1.329485194820471,0.0619584662301682,vitamin D receptor agonist,VDR,Launched,endocrinology,False,False,True,False,False
61,novobiocin,2.0754497118492576,0.0022231410412386,1.3738478591964802,0.0639145767184291,bacterial DNA gyrase inhibitor,,Launched,obstetrics/gynecology,False,False,True,False,False
62,fenofibrate,1.8245451408384885,0.0022420453428534,1.257907349856347,0.1078053930739119,PPAR receptor agonist,"MMP25, PPARA",Launched,endocrinology,False,False,True,False,False
63,amoxicillin,2.2322440270364665,0.0023870572754092,1.3468342568917482,0.1193755664448578,penicillin binding protein inhibitor,"CYP2C19, SLC15A1, SLC15A2, SLC22A6",Launched,"infectious disease, gastroenterology",False,False,True,False,False
64,pilocarpine,1.5350193850521907,0.0027729824126482,1.1914062908524834,0.0925509101640162,acetylcholine receptor agonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",Launched,"ophthalmology, cardiology",False,False,True,False,False
65,lorlatinib,2.3573266463039646,0.0030118380184846,1.484700409026936,0.0520694777972887,ALK tyrosine kinase receptor inhibitor,ALK,Phase 2,,False,True,True,False,False
66,tamoxifen,2.0534137270938286,0.0031842120927371,1.3046665790210246,0.135522032661471,"estrogen receptor antagonist, selective estrogen receptor modulator (SERM)","EBP, ESR1, ESR2, GPER1, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCI, PRKCQ, PRKCZ",Launched,oncology,False,False,True,False,False
67,4-chlorophenylguanidine,1.9487212170413424,0.0032679968217813,1.3712762150156184,0.0428422652781537,urokinase inhibitor,PLAUR,Preclinical,,True,True,False,False,False
68,amfenac,2.161756662940053,0.0032877771054092,1.4571796371760195,0.0406225011145266,cyclooxygenase inhibitor,"PTGS1, PTGS2",Launched,neurology/psychiatry,True,False,True,False,False
69,chloramphenicol-palmitate,2.171718612816333,0.0033736883920862,1.4032507175491105,0.0769909688236108,protein synthesis inhibitor,,Launched,"infectious disease, endocrinology",False,False,True,False,False
70,ci-844,1.99930498320653,0.003566541843559,1.37300296653192,0.0572066108383938,,,Phase 2,,False,False,True,False,False
71,palbociclib,1.5829363388005775,0.0039492722882874,1.2151382219198024,0.089782302509713,CDK inhibitor,"CDK4, CDK6",Launched,oncology,False,True,True,False,False
72,8-bromo-cgmp,2.5022069577205848,0.0039963096593153,1.567868153112589,0.0454975369929148,PKA activator,PRKG1,Preclinical,,True,False,False,False,False
73,fludarabine,2.1504861567939613,0.0040265534344841,1.3697904124818072,0.1000267198884182,ribonucleotide reductase inhibitor,"ADA, RRM1, RRM2",Launched,hematologic malignancy,False,False,True,False,False
74,blebbistatin-(-),1.9124381153760155,0.0042247761104434,1.305498660161066,0.1023503949410001,ATPase inhibitor,,Preclinical,,False,False,False,False,False
75,3'-fluorobenzylspiperone,1.986147553321595,0.0042393621526222,1.3928664370937909,0.0474646828370241,dopamine receptor ligand,DRD2,Preclinical,,True,False,False,False,False
76,dolutegravir,3.179477655489308,0.0044164674110056,1.7630174867468815,0.0454975369929148,HIV integrase inhibitor,"CYP3A4, CYP3A5, CYP3A7, POU2F2, UGT1A1",Launched,infectious disease,True,False,True,False,False
77,vtp-27999,2.1712479456813023,0.0046515457611725,1.3380466844083043,0.1497541875915745,renin inhibitor,REN,Phase 1,,False,False,False,False,False
78,nizatidine,1.9255896718559624,0.0053110466592359,1.347132803683516,0.0762936710505996,histamine receptor antagonist,HRH2,Launched,gastroenterology,False,False,True,False,False
79,7-hydroxystaurosporine,3.84038869701094,0.00538089162256,1.948176580673832,0.0438054290876101,"CDK inhibitor, CHK inhibitor, PKC inhibitor","CHEK1, MARK3, PDPK1",Phase 2,,True,True,True,False,False
80,cep-33779,2.1043358215144385,0.0055452067005507,1.4529316966954655,0.0469391048851924,JAK inhibitor,JAK2,Preclinical,,True,True,False,False,False
81,taselisib,1.6051945590385774,0.005671855662947,1.2182088781256477,0.11143102361668,PI3K inhibitor,PIK3CA,Phase 3,,False,True,True,False,False
82,oprozomib,8.085279755792794,0.0059327467508777,2.434846812959262,0.1052845218077607,proteasome inhibitor,,Phase 1/Phase 2,,False,False,True,False,False
83,benzethonium,1.9569838790526248,0.0060223261839124,1.2719744840464742,0.1652711020678268,sodium channel blocker,SCN10A,Launched,infectious disease,False,False,True,False,False
84,daclatasvir,1.9466124794479391,0.0063050132048846,1.3776587859633718,0.0614063928436899,HCV inhibitor,,Launched,infectious disease,False,False,True,False,False
85,linalool,1.7800015465308776,0.0068865748158268,1.3093359188918194,0.0724904291366033,anticonvulsant,,Phase 1,,False,False,False,False,False
86,tiletamine,1.6390581697099798,0.0070274354105881,1.2547587006275809,0.0836611068011267,glutamate receptor antagonist,,Launched,neurology/psychiatry,False,False,True,False,False
87,gimeracil,2.019737910010475,0.0071342904958641,1.3507619689766228,0.1107560684431832,dihydropyrimidine dehydrogenase inhibitor,DPYD,Launched,oncology,False,False,True,False,False
88,cinalukast,2.069392891863908,0.0072399931616301,1.351149524160399,0.1167095493977257,leukotriene receptor antagonist,CYSLTR1,Phase 2,,False,False,True,False,False
89,mepivacaine,2.189454398807757,0.0072760516038992,1.4127044307946672,0.1014909797910634,"potassium channel blocker, sodium channel blocker",SCN10A,Launched,neurology/psychiatry,False,False,True,False,False
90,fluoromethylcholine,1.817668911469407,0.0074567237681203,1.3227129903299657,0.0787375182289802,,,Launched,,False,False,True,False,False
91,refametinib,2.0402936323913368,0.0075615117118794,1.3928718157716078,0.0845085435872018,MEK inhibitor,"MAP2K1, MAP2K2",Phase 2,,False,True,True,False,False
92,metoprolol,1.7927074328319883,0.0075780244926079,1.3060772842110064,0.0872242820731156,adrenergic receptor antagonist,"ADRB1, ADRB2",Launched,cardiology,False,False,True,False,False
93,triciribine,2.495459733691229,0.0078086556509477,1.528594701769419,0.0873931405104057,AKT inhibitor,"AKT1, AKT2, AKT3",Phase 1/Phase 2,,False,True,True,False,False
94,unc2250,1.617953810019938,0.0079478342569118,1.2603472648073557,0.0759330679043178,MER tyrosine kinase inhibitor,MERTK,Preclinical,,False,True,False,False,False
95,triamterene,1.9399819276893209,0.0083993834665928,1.2478709497927916,0.2410835609714949,sodium channel blocker,"SCNN1A, SCNN1B, SCNN1D, SCNN1G",Launched,"endocrinology, cardiology",False,False,True,False,False
96,cl-218872,2.2362569247491715,0.008417139546735,1.4287910902231582,0.1023503949410001,benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2",Phase 1,,False,False,False,False,False
97,linsitinib,3.299088279975829,0.0085029466021045,1.8175063567529437,0.0531458914630683,IGF-1 inhibitor,"IGF1R, INSR, INSRR",Phase 3,,False,True,True,False,False
98,gsk2656157,1.8646832712091408,0.0086183829541081,1.3757899905529858,0.054654890163532,PERK inhibitor,,Preclinical,,False,True,False,False,False
99,prt062607,3.721873648080874,0.0086692436673407,1.688729855515659,0.157141025983613,syk inhibitor,"FGR, MAP3K9, SYK",Phase 2,,False,True,True,False,False
100,equol,1.975083316201912,0.0098415060717278,1.255616990463548,0.2498558586408074,estrogen receptor agonist,"ESR1, ESR2",Launched,,False,False,True,False,False
101,pha-665752,2.219729584388732,0.0101006304377346,1.4059248572833778,0.1297738454911912,c-Met inhibitor,MET,Preclinical,,False,True,False,False,False
102,osi-420,1.9218316345380408,0.0110519215289608,1.2983221913580554,0.165126340677254,EGFR inhibitor,EGFR,Preclinical,,False,True,False,False,False
103,eptifibatide,2.4919085689061835,0.0121216848470348,1.4047579002171513,0.2082501755990888,platelet aggregation inhibitor,"ITGA2B, ITGB3",Launched,cardiology,False,False,True,False,False
104,mocetinostat,1.8355165260166868,0.013060020619197,1.3277351682366214,0.1031666091733116,HDAC inhibitor,"HDAC1, HDAC11, HDAC2, HDAC3",Phase 2,,False,True,True,False,False
105,teriflunomide,1.7656262918558656,0.0134092343143255,1.2370705709907936,0.2025202854436916,dihydroorotate dehydrogenase inhibitor,DHODH,Launched,neurology/psychiatry,False,False,True,False,False
106,1-naphthyl-pp1,1.761768340898184,0.0140281226947217,1.2666390120293771,0.1561167609752631,src inhibitor,SRC,Preclinical,,False,True,False,False,False
107,ketoconazole,1.96484418211942,0.0159150299993365,1.3654966468901606,0.1231170137774182,sterol demethylase inhibitor,"AR, CYP19A1, CYP21A2, KCNA10",Launched,dermatology,False,False,True,False,False
108,papaverine,2.34894918280767,0.0160131270886315,1.471979553399844,0.1342717084086455,phosphodiesterase inhibitor,"PDE10A, PDE4B, PDE5A",Launched,"cardiology, hematology, gastroenterology",False,False,True,False,False
109,abt-702,1.7569689339413457,0.0167052621867185,1.28958281113675,0.1360429107294703,adenosine kinase inhibitor,ADK,Preclinical,,False,True,False,False,False
110,arry-334543,2.963924596404216,0.0173994519072037,1.634693617147692,0.1342082336267346,EGFR inhibitor,ERBB2,Phase 2,,False,True,True,False,False
111,cefdinir,1.6795031400283391,0.0175221412569139,1.2852669452191108,0.1052845218077607,bacterial cell wall synthesis inhibitor,MPO,Launched,"infectious disease, otolaryngology, pulmonary",False,False,True,False,False
112,mibefradil,1.5741753203229096,0.017847425789304,1.1945017501895634,0.2115163269714987,T-type calcium channel blocker,"ANO1, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CATSPER1, CATSPER2, CATSPER3, CATSPER4",Withdrawn,,False,False,True,False,False
113,ranitidine,1.9685646871223936,0.0182770193512114,1.4440262695903143,0.0662085986452047,histamine receptor antagonist,HRH2,Launched,gastroenterology,False,False,True,False,False
114,tanaproget,1.721776716320987,0.0196202698577986,1.239148112527441,0.2056683415314574,progesterone receptor agonist,PGR,Phase 2,,False,False,True,False,False
115,ruxolitinib,4.378615388327795,0.0205258607058183,2.141827192261318,0.0902202619653623,JAK inhibitor,"JAK1, JAK2, JAK3, TYK2",Launched,"hematologic malignancy, hematology",False,True,True,False,False
116,meglitinide,1.8807141954564224,0.0209758363556607,1.2838620325685803,0.2171035826071339,potassium channel blocker,CCR2,Phase 2,,False,False,True,False,False
117,hydrocortisone,1.9569111407240949,0.0211865003155928,1.4281167922569582,0.0808981645332216,glucocorticoid receptor agonist,,Launched,"dermatology, neurology/psychiatry",False,False,True,False,False
118,lomitapide,1.574662112359419,0.0214032008937746,1.1842916644878063,0.2482616693983456,microsomal trigylceride transfer protein inhibitor,MTTP,Launched,endocrinology,False,False,True,False,False
119,estrone,1.5254138452690076,0.0224088173096541,1.2482988588211903,0.0867449778384796,"estrogen receptor agonist, estrogenic hormone","ESR1, ESR2",Launched,,False,False,True,False,False
120,phlorizin,1.7490410458493653,0.0225960956597625,1.2991005178471569,0.1294654954742295,sodium/glucose cotransporter inhibitor,"SLC5A1, SLC5A11, SLC5A2, SLC5A3",Preclinical,,False,False,False,False,False
121,gw-583340,1.675324171842658,0.0233906282136465,1.2404164557711,0.1925056844123198,EGFR inhibitor,"EGFR, ERBB2",Preclinical,,False,True,False,False,False
122,chidamide,2.287271855317227,0.024482863495473,1.4392263842715036,0.1717427574974462,HDAC inhibitor,"HDAC10, HDAC3",Launched,,False,True,True,False,False
123,tropisetron,1.5591766008367414,0.0251896822852145,1.2500309221942996,0.1076092822147363,serotonin receptor antagonist,"GLRA1, GLRA2, GLRB, HTR3A, HTR4",Launched,gastroenterology,False,False,True,False,False
124,tws-119,1.849836307349087,0.0258932066164375,1.3805266613056928,0.0980289077518109,glycogen synthase kinase inhibitor,"GSK3B, JUN, MYC",Preclinical,,False,True,False,False,False
125,cep-37440,3.1638069537157887,0.0262222740424633,1.738736442843267,0.1325850313076722,ALK tyrosine kinase receptor inhibitor,ALK,Phase 1,,False,True,False,False,False
126,ribavirin,1.885611167090091,0.0299772029134738,1.3250678189881568,0.1836436622542616,antiviral,"ADK, ENPP1, IMPDH1, IMPDH2, NT5C2",Launched,infectious disease,False,False,True,False,False
127,raloxifene,1.7356051918302122,0.0305664459915913,1.3445779150292534,0.0918207484092014,"estrogen receptor antagonist, selective estrogen receptor modulator (SERM)","ESR1, ESR2",Launched,"orthopedics, oncology",False,False,True,False,False
128,mozavaptan,2.681307316348905,0.0315033890400154,1.5626365266021771,0.1603117197294285,vasopressin receptor antagonist,"AVPR1A, AVPR1B, AVPR2",Launched,endocrinology,False,False,True,False,False
129,cnx-774,1.5005251848578995,0.0337795685930674,1.1961861121050728,0.1992019149415704,Bruton's tyrosine kinase (BTK) inhibitor,BTK,Preclinical,,False,True,False,False,False
130,cpi-1189,1.5959536095038669,0.0341982925096611,1.2632527038511256,0.130371273671791,tumor necrosis factor release inhibitor,TNF,Phase 2,,False,False,True,False,False
131,gsk2126458,2.331101500175411,0.0358755540626826,1.5024249661396891,0.1583383500667787,"mTOR inhibitor, PI3K inhibitor","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG",Phase 1,,False,True,False,False,False
132,avl-292,3.388009803643846,0.0386070267454164,1.5848674660720123,0.2978809828158099,Bruton's tyrosine kinase (BTK) inhibitor,"BTK, YES1",Phase 2,,False,True,True,False,False
133,cgp-52411,1.765461348529143,0.0394913703388297,1.346741965138483,0.1228234950427235,EGFR inhibitor,EGFR,Preclinical,,False,True,False,False,False
134,meclizine,2.267378901786314,0.042223742875937,1.3683252151641216,0.3010473786192268,constitutive androstane receptor (CAR) agonist,"HRH1, NR1I3",Launched,"gastroenterology, neurology/psychiatry",False,False,True,False,False
135,ap26113,1.640537454711821,0.0428888933878038,1.2233854966689737,0.2638182182614014,ALK tyrosine kinase receptor inhibitor,"ALK, EGFR",Phase 2,,False,True,True,False,False
136,ro-90-7501,1.5006668942316672,0.0433649714756538,1.2295612897883896,0.1403451195470422,,APP,Preclinical,,False,False,False,False,False
137,hesperadin,1.6047854321077943,0.0457643685256855,1.1444865553680184,0.4657376771024213,Aurora kinase inhibitor,AURKB,Preclinical,,False,True,False,False,False
138,ldn-212854,5.569722741095911,0.0457643685256855,2.201282742150945,0.2091600017682497,bone morphogenic protein inhibitor,"ABL1, ACVR1, RIPK2",Preclinical,,False,False,False,False,False
139,uric-acid,1.5872252362974697,0.0465968913522461,1.27974251802913,0.1237614791025213,,PYGL,Phase 3,,False,False,True,False,False
140,ibrutinib,1.924700021207016,0.0471094255175364,1.1931549357490308,0.5027876102470266,Bruton's tyrosine kinase (BTK) inhibitor,"BLK, BMX, BTK",Launched,hematologic malignancy,False,True,True,False,False
141,thioguanine,2.5279501874765606,0.0477082547567886,1.4689760464940769,0.2605217355144,purine antagonist,"IMPDH1, IMPDH2",Launched,hematologic malignancy,False,False,True,False,False
142,sevelamer,1.64431231136638,0.0488709742261642,1.2647370031036989,0.180508083728155,phosphate antagonist,,Launched,nephrology,False,False,True,False,False
143,bms-754807,1.5626970516217085,0.0488927033391627,1.2157007326541132,0.2408216414106055,IGF-1 inhibitor,"AKT1, IGF1R",Phase 2,,False,True,True,False,False
