tf,rank_42,importance_mean_42,rank_123,importance_mean_123,rank_456,importance_mean_456,mean_rank,in_top20_all_seeds
ZNF217,390,0.00028180662449509936,344,0.0004950693718814309,379,0.0002699641950784732,371.0,False
TFCP2,556,0.00015223456186545676,110,0.0011391353089314207,447,0.0002187158357569508,371.0,False
KAT5,171,0.0006129045556476877,655,0.0001156094855986973,289,0.00036851976686634634,371.6666666666667,False
FOXL2,323,0.0003521182744048984,506,0.0002748516480454727,286,0.0003705227739539458,371.6666666666667,False
FOXE1,100,0.0008182052218244555,674,0.0001005300961782213,342,0.000307266785787788,372.0,False
VSX2,596,0.00013017885942793217,79,0.0013403087598844925,441,0.00022153636651485917,372.0,False
TWIST2,197,0.0005495624189996196,489,0.00029200504203882616,431,0.0002265920515211209,372.3333333333333,False
NFE2L3,491,0.00019491946550191864,218,0.000764163140543546,408,0.0002445007033229834,372.3333333333333,False
ZNF350,107,0.0007884870562768563,340,0.0005033154528505155,676,8.253896677375265e-05,374.3333333333333,False
MYCN,40,0.001187985591197062,455,0.00033543925374860095,632,0.00010416271988137024,375.6666666666667,False
IRF7,190,0.0005609964706019872,401,0.00040431392559377963,538,0.0001545403928103593,376.3333333333333,False
HDAC5,605,0.00012378227250503022,190,0.0008465769767347163,336,0.0003159805449175827,377.0,False
NANOG,405,0.00027027663161954314,407,0.00039778723156345995,320,0.00033233936138651296,377.3333333333333,False
TBPL2,701,6.991060407541221e-05,178,0.0008831326994106458,256,0.000403412558274464,378.3333333333333,False
HOXB3,376,0.0002991084362537494,201,0.0008201748452002063,559,0.00013965597146529152,378.6666666666667,False
PA2G4,508,0.00018259191208592324,503,0.00027686260502582974,128,0.0006519172043915729,379.6666666666667,False
TBP,534,0.00016528180393899646,93,0.001201079425465485,512,0.0001696482712532088,379.6666666666667,False
KLF4,699,7.148070965518565e-05,392,0.00041022679451688503,51,0.000993443239608358,380.6666666666667,False
CTBP2,305,0.00036610746343168296,415,0.00039315359827979233,422,0.00023466984748321204,380.6666666666667,False
TCF7,233,0.00045486693764387656,653,0.00011786081527685438,258,0.00040187665308621945,381.3333333333333,False
RFX3,406,0.00026890095355983334,206,0.0007893882426825174,533,0.00015855762369758878,381.6666666666667,False
GATA4,214,0.0005170517546447985,398,0.00040653762511228155,535,0.00015700574865742524,382.3333333333333,False
RFX4,382,0.00029100234454379904,601,0.00016818760395000427,164,0.0005819384898267909,382.3333333333333,False
SREBF2,102,0.0008122825853261571,755,3.441288689764337e-05,290,0.0003681948662481525,382.3333333333333,False
HIPK2,76,0.0009551711033661073,413,0.0003945671872997991,665,8.755501797643525e-05,384.6666666666667,False
NFIX,481,0.00020148604890189083,143,0.001041823961355531,531,0.00016118448820634512,385.0,False
TEAD1,91,0.0008627726017011535,513,0.000266843496154417,551,0.0001467724757972202,385.0,False
NFE2L1,383,0.000288607538440181,479,0.0003100519467848657,294,0.00036389138307585557,385.3333333333333,False
MYF6,571,0.00014461201929159208,211,0.000777045283581229,384,0.00026583098581961,388.6666666666667,False
ATF2,442,0.00023520906659965394,402,0.000404299492345217,323,0.00032779835884288,389.0,False
BCL3,708,6.633504748413432e-05,282,0.000614234152966343,178,0.000546651559723228,389.3333333333333,False
BATF,230,0.00046002311015317076,474,0.00031517840502739557,465,0.00020312246397483332,389.6666666666667,False
ELF3,130,0.000683842829444488,586,0.00018136412047004507,456,0.0002087803166137009,390.6666666666667,False
TCF12,475,0.00020786396445063556,378,0.0004266985343526881,321,0.00032937739615590544,391.3333333333333,False
CREBBP,539,0.00016303733092244826,437,0.0003545201051786011,201,0.0004978560031145896,392.3333333333333,False
TOX3,753,3.807327957422951e-05,114,0.0011210987186958928,312,0.00033963733916276726,393.0,False
VHL,34,0.0012593650963577657,731,5.407832839084263e-05,416,0.00023772824399105903,393.6666666666667,False
